,aspect,base_category
0,miles,Distance / Efficiency / Mileage
1,mechanical upgrades,
2,circular dial,physical controls
3,a5 cooper,model / generic car terms
4,rs5 quality,model / generic car terms
5,e 43 a m g,model / generic car terms
6,land rover discovery sport,brake
7,rubber,exterior materials & finish
8,models,model / generic car terms
9,transmission,transmission
10,years,model / generic car terms
11,space,climate / temperature control
12,blowers,climate / temperature control
13,entertainment screen,displays / instrumentation
14,dynamic exhaust,exhaust
15,corner in wet weather,road terrain
16,bumper sticks,road terrain
17,delivering,
18,air blower,aerodynamics / airflow
19,load lips,aerodynamics / airflow
20,suspension tuning,suspension
21,quilting,interior materials & trim / finish
22,locks,keys & lock
23,sound,audio
24,sharp bumps,road terrain
25,m5 competition,model / generic car terms
26,m 8 50 i the 4.4 litre twin turbo v8,engine/ power train
27,sd card slot,model / generic car terms
28,no control for rear window,aerodynamics / airflow
29,charge,fuel / energy / charging
30,consumption,Distance / Efficiency / Mileage
31,apple carplay,connectivity / integration
32,modern startup technology,Technology
33,wood trim effect,Design
34,mud,road terrain
35,back seat control,climate / temperature control
36,arm,seats
37,rear passenger space,climate / temperature control
38,comfort suspension corner handling,Driving Dynamics / Handling
39,inside enhancements,interior
40,apple carplay,connectivity / integration
41,cargo room,boot/cargo
42,rotate,
43,tires,wheels & tyres
44,drive train technology,Technology
45,virtual cockpit,displays / instrumentation
46,cargo volume,boot/cargo
47,second row,passenger space
48,knee room,passenger space
49,competition pack,climate / temperature control
50,soft pillow,seats
51,a6 weight,weight
52,few pieces of plastic,exterior materials & finish
53,process,
54,extra bracing,climate / temperature control
55,v10 twin turbo charge,engine/ power train
56,reversing assistant,driver assistance
57,seven speed automatic transmission,transmission
58,load,boot/cargo
59,road imperfections,road terrain
60,taste,Emotional & Sensory Experience
61,hybrid engine,engine / power train
62,automatic acceleration,climate / temperature control
63,roof rains,roof
64,carbon ceramics,model / generic car terms
65,reductive sport end suspension,suspension
66,potential performance,performance
67,driver distraction,drive
68,lighting animations,lighting
69,contouring,
70,aspects,
71,character lines,body class
72,bolsters,seats
73,fold down receipts,Comfort & Ergonomics
74,buy,value / cost
75,head,
76,adults in back,climate / temperature control
77,red cable hybrid engine,engine / power train
78,magic body control,body class
79,air suspension,suspension
80,exhaust volume,exhaust
81,fitting a child seat,model / generic car terms
82,a5 seats,model / generic car terms
83,top down display,roof
84,bmw three series new,model / generic car terms
85,tank,fuel / energy / charging
86,boxes,boot/cargo
87,noise flow,audio
88,m3,model / generic car terms
89,entry level,doors
90,storage drawer,storage & utility
91,sporty suspension,suspension
92,seat belts,seats
93,metallic flack,exterior materials & finish
94,technology price,Value / Cost
95,rev counter,engine/ power train
96,qa8,model / generic car terms
97,car,model / generic car terms
98,storage underneath,storage & utility
99,content,Technology
100,performance figures,performance
101,cabriole price entry point,body type
102,looks,Design
103,bmw 3 40 i  engine,engine / power train
104,s4,model / generic car terms
105,rear following front,Driving Dynamics / Handling
106,behaving,
107,aero bits price,aerodynamics / airflow
108,prices,road terrain
109,structural rigidity,chassis / structural
110,sophistication,Emotional & Sensory Experience
111,boot underfloor area,boot/cargo
112,front face,climate / temperature control
113,shift operation,transmission
114,materials,interior materials & trim / finish
115,storage bits,storage & utility
116,beam span,
117,car feels,Emotional & Sensory Experience
118,electric motor,engine/ power train
119,rear headroom,passenger space
120,air bags,safety
121,panoramic glass freeze,roof
122,off switch,physical controls
123,head room,passenger space
124,exhaust,exhaust
125,frame,build quality / construction
126,launch control process,acceleration
127,wind whistles,audio
128,air breather,aerodynamics / airflow
129,carrying stuff,boot/cargo
130,sand dunes,road terrain
131,surround cameras,cameras
132,display unit,displays / instrumentation
133,new battery pack,model / generic car terms
134,rear seatbacks,climate / temperature control
135,navigation system,navigation / mapping
136,c e400,model / generic car terms
137,bmw i three,model / generic car terms
138,blind spot,safety
139,ferry three,
140,surround view parking,visibility & view
141,everything,Functionality & Features
142,support adjustments,Comfort & Ergonomics
143,right on the road,road terrain
144,long distances,Design
145,tyres,wheels & tyres
146,over six foot people,passenger space
147,ability,
148,volvo xc60 room,model / generic car terms
149,woods,road terrain
150,a7 practicality,
151,backpacks,climate / temperature control
152,upholstery,interior materials & trim / finish
153,x6,model / generic car terms
154,driving position,drive
155,back headroom,climate / temperature control
156,grill,grill
157,towbar,
158,value for money,value / cost
159,horns,audio
160,orange peel,exterior materials & finish
161,elements,design
162,whole package,climate / temperature control
163,2.1 litre turbo diesel four cylinder,engine/ power train
164,satellite system,navigation / mapping
165,out,
166,exterior,exterior materials & finish
167,carrying five once,passenger space
168,normal driving speed,drive
169,few things,
170,six speed manual,transmission
171,0 to 60 spread,acceleration
172,glove boxes,boot/cargo
173,does everything,Functionality & Features
174,load cover,boot/cargo
175,driving,drive
176,rear window shades,aerodynamics / airflow
177,edges,body class
178,highway efficiency,road terrain
179,outside dimensions,body class
180,storage space,storage & utility
181,striping,design
182,back get in,climate / temperature control
183,badges,Design
184,audi r8,model / generic car terms
185,a4 driving position,model / generic car terms
186,1.5 l engine,engine / power train
187,back seats down,climate / temperature control
188,local,
189,gt -r,model / generic car terms
190,estate cars,body type
191,gauge setup,displays / instrumentation
192,coasting,driving dynamics / handling
193,amg a4 g5,model / generic car terms
194,start,engine / power train
195,boot height,boot/cargo
196,signature on every windscreen,windscreen / wipers
197,latest version,packages / trims / variants
198,power band,engine/ power train
199,downhill,road terrain
200,haunches,
201,rear window,aerodynamics / airflow
202,sensations,Emotional & Sensory Experience
203,smaller people,passenger space
204,turbulence,aerodynamics / airflow
205,comfort level,Comfort & Ergonomics
206,learn to drive,drive
207,external panel,exterior materials & finish
208,four people,passenger space
209,mirrors,mirrors
210,stop,brake
211,protection,safety
212,vent,aerodynamics / airflow
213,sailing mode,Driving Dynamics / Handling
214,current design,Design
215,interface operation,climate / temperature control
216,money,value / cost
217,first generation drive,model / generic car terms
218,storage jets,storage & utility
219,electric car,fuel / energy / charging
220,backrest,climate / temperature control
221,s5 sport back launch,body type
222,light,lighting
223,off roader,road terrain
224,material selection,physical controls
225,long term reliability,value / cost
226,a8 reversing,model / generic car terms
227,tech features,Functionality & Features
228,stop start system,brake
229,front armrest,seats
230,engine start button,engine / power train
231,pricewise,road terrain
232,contrast,Design
233,digital dash,displays / instrumentation
234,driver satisfaction,drive
235,offroad sound,audio
236,get in the back,climate / temperature control
237,dash angles,displays / instrumentation
238,manual sport mode,transmission
239,front bottom,
240,back,climate / temperature control
241,weirdness,Emotional & Sensory Experience
242,shocks,Driving Dynamics / Handling
243,fuel consumption,fuel / energy / charging
244,swiping zoom manoeuvres,gesture / motion controls
245,s line indicators,displays / instrumentation
246,emergency services button,model / generic car terms
247,specifications,options & specifications
248,most laid back position,climate / temperature control
249,handles,
250,tops,roof
251,tail lamps,lighting
252,car tire pot,wheels & tyres
253,sedan,body type
254,mercedes c 63 or a bmw m3,model / generic car terms
255,automatic gear,transmission
256,scuff plates,
257,door design,Design
258,road,road terrain
259,profiles,Design
260,rear wheel drive,drive
261,air breathers,aerodynamics / airflow
262,left hand drive steering wheel,steering
263,stereo volume control,audio
264,offroad travel,road terrain
265,canyon,road terrain
266,potholes,road terrain
267,dynamics,Driving Dynamics / Handling
268,wheel arches,wheels & tyres
269,rs5,model / generic car terms
270,steering column,steering
271,gt three wet road,model / generic car terms
272,efficiency,Distance / Efficiency / Mileage
273,back roofline,roof
274,rear wheels,drive
275,roof rails,roof
276,look over shoulder,Design
277,expense,value / cost
278,storage pack,storage & utility
279,turbos,engine/ power train
280,carbon trim price,Design
281,gearboxes,transmission
282,crackles,climate / temperature control
283,electronic system,software / interaction
284,turns in,cornering
285,automatic gear selector,transmission
286,hatchback tailgate,body type
287,wheel look change,Design
288,dynamic gearbox shift,transmission
289,obstacles,climate / temperature control
290,quattro system petrol,model / generic car terms
291,rs5 color,Design
292,spaces,climate / temperature control
293,g l e 63,model / generic car terms
294,seatbelt butler,seats
295,black box on white red,climate / temperature control
296,storage areas,storage & utility
297,under floor support,
298,front apron port,
