,Unnamed: 0,id,segment_id,text,aspect,opinion,sentiment,,,,
0,0,15,1,"as Americans continue to fall out of love with full size . Sedan's midsize is air picking up the slack but closely mimicking their flagship kin . When it comes to well , pretty much everything . A5 Siri's is just another shining example of high end downsizing in Action wing , slightly less in the previous iteration , the newest five , Siri's looks like BMW .",A5,shining example of high end downsizing,pos,,,,
1,,15,1,"as Americans continue to fall out of love with full size . Sedan's midsize is air picking up the slack but closely mimicking their flagship kin . When it comes to well , pretty much everything . A5 Siri's is just another shining example of high end downsizing in Action wing , slightly less in the previous iteration , the newest five , Siri's looks like BMW .",size,midsize,neu,,,,
2,1,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,conservative,neu,,,,
3,,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,lack edge,neg,,,,
4,,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,age well,pos,,,,
5,,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,classy,pos,,,,
6,,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",interior,different,pos,,,,
7,,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",car,mordern interpretation of BMW classsic aesthetic,pos,,,,
8,2,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",character,stately,pos,,,,
9,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",grip,proper BMW,pos,,,,
10,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",brake,proper BMW,pos,,,,
11,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",accelerate,proper BMW,pos,,,,
12,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",sensations,deluded to some degree,pos,,,,
13,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",comfort,big on,pos,,,,
14,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",ride quality,totally comfortable,pos,,,,
15,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",ride quality,hair further than Mercedes Eclass,pos,,,,
16,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",drive,more lie a smaller seven,neu,,,,
17,,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",luxury spectrum,not a bad thing,pos,,,,
18,3,15,4,Noise suppression is positively top notch .,noise suppression,positively top notch,pos,,,,
19,4,15,5,"The turning radius is insanely tight , which I'm sure is largely attributed to the rear wheel steering .",turning radius,insanely tight,neu,,,,
20,,15,5,"The turning radius is insanely tight , which I'm sure is largely attributed to the rear wheel steering .",seats,more adjustment points,pos,,,,
21,6,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",steering wheel,laughably thick,neu,,,,
22,,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",sun visors,don't slide,neg,,,,
23,,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",instrument cluster,beautifully mixes physical and digital design elements,pos,,,,
24,,15,7,"That said , the steering wheel is laughably thick . Elsewhere in the cabin , you'll find sun visors that don't slide and instead hit you in the face . An instrument cluster that beautifully mixes physical and digital design elements and ruby rear seats .",seats,ruby,pos,,,,
25,7,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",center tunnel,huge,neu,,,,
26,,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",rear seats,foldable,pos,,,,
27,,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",floor,low,pos,,,,
28,,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",floor,flat,pos,,,,
29,,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",boot capacity,vast,pos,,,,
30,,15,8,"Oh , a huge center tunnel takes the shine off that center position behind affordable rear seats . A low , flat floor and vast 18.7 cubic foot capacity make for a supremely usable trying .",boot capacity,supremely usable,pos,,,,
31,8,15,9,"At the front of the car sits an engine bay that could be filled with one of four powertrains . Nazi . There's a two litre , turbo charged , four cylinder , A3 liter turbocharged inline six A4 60.4 liter turbocharged V8 and a plug in hybrid that blends electric propulsion with a triple charged four cylinder engine to deliver swift acceleration in 16 miles , a pure electric range . Following seven hours of charging on a standard household outlet , we will drive a standard across the board with all wheel drive optional , accepting the all wheel drive only M5 50 I . Also standard is an eight speed automatic transmission and automatic engine stop start feature that saves fuel when the vehicle is motionless . It can also be turned off if you prefer .",acceleration,swift,pos,,,,
32,,15,9,"At the front of the car sits an engine bay that could be filled with one of four powertrains . Nazi . There's a two litre , turbo charged , four cylinder , A3 liter turbocharged inline six A4 60.4 liter turbocharged V8 and a plug in hybrid that blends electric propulsion with a triple charged four cylinder engine to deliver swift acceleration in 16 miles , a pure electric range . Following seven hours of charging on a standard household outlet , we will drive a standard across the board with all wheel drive optional , accepting the all wheel drive only M5 50 I . Also standard is an eight speed automatic transmission and automatic engine stop start feature that saves fuel when the vehicle is motionless . It can also be turned off if you prefer .",range,pure electric,pos,,,,
33,,15,9,"At the front of the car sits an engine bay that could be filled with one of four powertrains . Nazi . There's a two litre , turbo charged , four cylinder , A3 liter turbocharged inline six A4 60.4 liter turbocharged V8 and a plug in hybrid that blends electric propulsion with a triple charged four cylinder engine to deliver swift acceleration in 16 miles , a pure electric range . Following seven hours of charging on a standard household outlet , we will drive a standard across the board with all wheel drive optional , accepting the all wheel drive only M5 50 I . Also standard is an eight speed automatic transmission and automatic engine stop start feature that saves fuel when the vehicle is motionless . It can also be turned off if you prefer .",engine stop start feature,saves fuel,pos,,,,
34,9,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",drive modes,customized driving experience,pos,,,,
35,,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",drive modes,operate as expected,pos,,,,
36,,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",ICO mode,surprisingly fun,pos,,,,
37,,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",sport mode,so dedicated,pos,,,,
38,,15,10,"For those who like a customized driving experience , BMW five . Siri's offers various drive modes that operate exactly as you'd expect . No , it is worth mentioning that the ICO mode could be a surprisingly fun , and the sport mode is so dedicated . The sporting is it's actually able to tighten the front seat side bolsters and typical German fashion .",front seat side bolster,tighten,pos,,,,
39,10,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",price,offers wide range,pos,,,,
40,,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",basic five series,perfect lovely conveyance,pos,,,,
41,,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",front seats,16 way adjustable,neu,,,,
42,,15,11,"BMW five series could be Spectra , a wide range of prices from slightly more than $52,000 well over $80,000 for a loaded in 5 50 i X Dr . For the moment , though , let's focus on the cheaper end of the spectrum or even a base 5 30 I include 16 way adjustable front seats , navigation with real time traffic , automatic brake cold , adaptive led headlights and a 12 speaker audio system though a backup camera inexplicably costs extra well , a basic five Syriza's a perfectly lovely conveyance .",headlights,adaptive led,neu,,,,
43,11,15,12,"Pricier versions and the option sheet reveal a plethora of automotive delights . Standouts include ventilated , massaging front seats that keep you from getting store by nudging you around like one of those goofball for derides , a system that parks itself using the key FOB passive entry .",pricier versions,plethora of automotive delights,pos,,,,
44,,15,12,"Pricier versions and the option sheet reveal a plethora of automotive delights . Standouts include ventilated , massaging front seats that keep you from getting store by nudging you around like one of those goofball for derides , a system that parks itself using the key FOB passive entry .",front seats,massaging,pos,,,,
45,,15,12,"Pricier versions and the option sheet reveal a plethora of automotive delights . Standouts include ventilated , massaging front seats that keep you from getting store by nudging you around like one of those goofball for derides , a system that parks itself using the key FOB passive entry .",front seats,ventilated,pos,,,,
46,12,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",audio systems,glorious sounding,pos,,,,
47,,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",audio systems,premium,pos,,,,
48,,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",steering system,adaptive,neu,,,,
49,,15,13,"Glorious sounding , premium audio systems ended , adaptive staring system that works well until it doesn't . We encountered a few instances where the system was behaving normally and surprise , it decided all on its own , and it just didn't wanna work anymore . And we ran into a chicken coop that it happened .",steering system,works well untill it doesn't,neg,,,,
50,13,15,14,"But we could have if that doesn't turn you off . A5 . Siri's can also be equipped with additional advance safety technology like blind spot monitoring for collision warning with automatic braking and a side collision avoidance system that automatically steers you away from vehicles that drift into your lane . Like , for example , another five . Siri's equipped with adaptive steering , further personalized A5 .",safety technology,advanced,pos,,,,
51,,15,14,"But we could have if that doesn't turn you off . A5 . Siri's can also be equipped with additional advance safety technology like blind spot monitoring for collision warning with automatic braking and a side collision avoidance system that automatically steers you away from vehicles that drift into your lane . Like , for example , another five . Siri's equipped with adaptive steering , further personalized A5 .",side collision avoidance system,automatically steers you away,pos,,,,
52,,15,14,"But we could have if that doesn't turn you off . A5 . Siri's can also be equipped with additional advance safety technology like blind spot monitoring for collision warning with automatic braking and a side collision avoidance system that automatically steers you away from vehicles that drift into your lane . Like , for example , another five . Siri's equipped with adaptive steering , further personalized A5 .",adaptive steering,further personalized,pos,,,,
53,14,15,15,"Siri's interior could be outfitted with numerous upholstery in trim themes , know whichever you choose real interior centerpieces .",trim,numerous upholstery,pos,,,,
54,,15,15,"Siri's interior could be outfitted with numerous upholstery in trim themes , know whichever you choose real interior centerpieces .",interior,real centrepieces,pos,,,,
55,15,15,16,"This I drive , which has been completely revamped and now features a large tiled main menu along with your sub menus . Overall , a touch screen in addition to the simplified remote gesture control , which I totally thought was a gimmick until it started using it .",I drive,completely revamped,pos,,,,
56,,15,16,"This I drive , which has been completely revamped and now features a large tiled main menu along with your sub menus . Overall , a touch screen in addition to the simplified remote gesture control , which I totally thought was a gimmick until it started using it .",I drive,touch screen,neu,,,,
57,,15,16,"This I drive , which has been completely revamped and now features a large tiled main menu along with your sub menus . Overall , a touch screen in addition to the simplified remote gesture control , which I totally thought was a gimmick until it started using it .",remote gesture control,simplified,pos,,,,
58,16,15,17,Now I can change tracks and adjust volume while looking like a crazy person to everyone around me .,-,-,-,,,,
59,17,15,18,To the delight of the habitually tangled .,-,-,-,,,,
60,18,15,19,"I Drive also includes wireless Apple carplay that works in nearly as good as the tether solution , but it does cost $3 at the moment .",Apple carplay,works nearly as good as the tether solution,pos,,,,
61,19,15,20,"BMW it has a review of plans . Dad , Android Auto . Hey , perhaps , um , unrelated technology and distracted from that fact .",Android auto,unrelated technology,neg,,,,
62,20,15,21,Coolest camera system ever .,camera system,coolest,pos,,,,
63,21,15,22,"Yeah , what , he said .",-,-,-,,,,
64,22,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Audi A6,well rounded,pos,,,,
