id,division
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
34,train
35,train
36,train
37,train
39,train
40,train
42,train
43,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,train
117,train
118,train
122,train
125,train
155,train
157,train
159,train
160,train
162,train
163,train
165,train
166,train
168,train
169,train
171,train
173,train
175,train
177,train
178,train
179,train
180,train
183,train
184,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
194,train
196,train
198,train
199,train
201,train
202,train
204,train
205,train
207,train
208,train
210,train
211,train
214,train
219,train
222,train
225,train
230,train
233,train
236,train
221,train
181,test
223,test
224,test
226,test
227,test
228,test
229,test
231,test
232,test
234,test
235,test
237,test
238,test
239,test
241,test
242,test
243,test
244,test
275,test
276,test
277,test
278,test
279,test
280,test
281,test
282,test
283,test
284,test
285,test
286,test
287,test
288,test
289,test
290,test
291,test
292,test
293,test
294,test
295,test
296,test
297,test
298,test
300,test
301,test
302,test
303,test
240,devel
245,devel
246,devel
247,devel
248,devel
249,devel
250,devel
251,devel
252,devel
253,devel
254,devel
255,devel
256,devel
257,devel
258,devel
259,devel
261,devel
262,devel
263,devel
264,devel
266,devel
267,devel
268,devel
269,devel
270,devel
271,devel
272,devel
273,devel
274,devel
15,devel
16,devel
17,devel
18,devel
19,devel
20,devel
21,devel
22,devel
38,devel
212,devel
213,devel
215,devel
216,devel
217,devel
218,devel
220,devel
