id,segment_id,review,review_cleaned,aspect,opinion,sentiment,topic,label_topic,base_primary,base_label,base_categories,MAIN_CATEGORY,MAIN_label,EXTRA_Opinion_Base_Needed_RARE_EXAMPLE
240,1,"the Audi A one . Now this is a car , which proves that size doesn't matter , and that's actually backed up by recent article ours reading my favorite magazine . So there is a genuine big car feel , even though this is quite a dinky little thing .","the audi a one . now this is a car , which proves that size doesn't matter , and that's actually backed up by recent article ours reading my favorite magazine . so there is a genuine big car feel , even though this is quite a dinky little thing .",feel,genuine big car,pos,comfort,3,emotional & sensory experience,24,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL,1,dimensions & measurements
240,1,"the Audi A one . Now this is a car , which proves that size doesn't matter , and that's actually backed up by recent article ours reading my favorite magazine . So there is a genuine big car feel , even though this is quite a dinky little thing .","the audi a one . now this is a car , which proves that size doesn't matter , and that's actually backed up by recent article ours reading my favorite magazine . so there is a genuine big car feel , even though this is quite a dinky little thing .",car,quite dinky little,neu,comfort,3,generic description & miscellaneous,32,generic description & miscellaneous,GENERAL INFORMATION,4,FALSE
240,2,"In fact , the quality is up there pretty much with the rest of the Audi Range .","in fact , the quality is up there pretty much with the rest of the audi range .",quality,up there,pos,quality-aesthetic,2,quality & durability,48,quality & durability,GENERAL INFORMATION,4,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",storage,so bad,neg,interior-features,1,storage & utility,57,storage & utility,FUNCTIONAL / UTILITY FEATURES,3,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",car,little,neg,general-information,6,generic description & miscellaneous,32,generic description & miscellaneous,GENERAL INFORMATION,4,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",equipment,pretty generous,pos,user-experience,8,equipment,26,equipment,FUNCTIONAL / UTILITY FEATURES,3,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",screen,poppet,neg,user-experience,8,displays / instrumentation,18,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE,9,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",swivel wheel,much easier than touch screen,pos,user-experience,8,physical controls,47,physical controls,INTERIOR / DESIGN / ERGONOMICS,6,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",graphics screen,little bit low definition,neg,quality-aesthetic,2,displays / instrumentation,18,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE,9,FALSE
240,3,"So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .","so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .",graphics screen,problem,neg,user-experience,8,displays / instrumentation,18,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE,9,FALSE
