id,segment_id,review,review_uncleaned,label_topic
240,1,"the audi a one . now this is a car , which proves that size doesn't matter , and that's actually backed up by recent article ours reading my favorite magazine . so there is a genuine big car feel , even though this is quite a dinky little thing .","the Audi A one . Now this is a car , which proves that size doesn't matter , and that's actually backed up by recent article ours reading my favorite magazine . So there is a genuine big car feel , even though this is quite a dinky little thing .",6
240,2,"in fact , the quality is up there pretty much with the rest of the audi range .","In fact , the quality is up there pretty much with the rest of the Audi Range .",2
240,3,"so to storage , so bad for such a little car . in terms of equipment , it's pretty generous . all cars get this entertainment system with a poppet screen on you . control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . the only problem is the graphics on that screen are a little bit low , def .","So to storage , so bad for such a little car . In terms of equipment , it's pretty generous . All cars get this entertainment system with a poppet screen on you . Control it with this swivel wheel , and that makes it much easier to select your favorite track when you're driving along , then trying to operate a touch screen when you prancing around all over the place . The only problem is the graphics on that screen are a little bit low , def .",8
240,4,"and you can see our full review of the entertainment system by clicking it there to watch our video of the interior and also have a great look around this cabin . speaking of which , you can enhance it with some ambient lighting packages , and you can actually change some of the colors of the accents inside here and won the colors you can have is fluorescent there . why you'd want to make this classy cabin or gaudy is beyond me on picture to do it when the car's already expensive enough as it is .","And you can see our full review of the entertainment system by clicking it there to watch our video of the interior and also have a great look around this cabin . Speaking of which , you can enhance it with some ambient lighting packages , and you can actually change some of the colors of the accents inside here and won the colors you can have is fluorescent there . Why you'd want to make this classy cabin or gaudy is beyond me on picture to do it when the car's already expensive enough as it is .",1
240,5,"speaking of which , that's that's the beauty of the audi a one while the many is a little bit , try hard . this is just it's just effortlessly cool . it's just a really small , classy looking thing from which ever way you look at it on dhe .","Speaking of which , that's that's the beauty of the Audi A one while the many is a little bit , try hard . This is just it's just effortlessly cool . It's just a really small , classy looking thing from which ever way you look at it on dhe .",2
240,6,"it's raw , the practical as well , so this booth is actually a decent capacity for this size of card . it's got some neat features , like tethering hooks , and you can raise the boot floor oppa's well to get rid well , rid of most of the load left . i just wish audi had figured out somewhere useful or handed to store this parcel shelf . so monologist story in the bushes and also which they figured out how to make these seats like completely flat because they don't they're still sticking up , but it's not too bad . this is still quite a practical boot .","It's raw , the practical as well , So this booth is actually a decent capacity for this size of card . It's got some neat features , like tethering hooks , and you can raise the boot floor Oppa's well to get rid well , rid of most of the load left . I just wish Audi had figured out somewhere useful or handed to store this parcel shelf . So monologist story in the bushes and also which they figured out how to make these seats like completely flat because they don't they're still sticking up , but it's not too bad . This is still quite a practical boot .",9
240,7,"it's quite an easy car for a three door to get into the back as well , because these front seats really do sleight far forward . so even inflexible people like me can get into the back . and when he first climbing , you think , well , actually listen to bad got all right , nearing for a small car and even a little edge to rest my elbow on . but when you sit up straight , he realized that gosh , this sloping roof line really does eat into headspace on the back seats of very right . so it's not gonna be very comfy on a long journey and see just what it's like for two adults back here . click it there to watch our separate practicality video , and in that you can see what it's like to fit that child seat in the back of this car on just how much stuff we could squeeze into its boot .","It's quite an easy car for a three door to get into the back as well , because these front seats really do sleight far forward . So even inflexible people like me can get into the back . And when he first climbing , you think , well , actually listen to bad got all right , nearing for a small car and even a little edge to rest my elbow on . But when you sit up straight , he realized that gosh , this sloping roof line really does eat into headspace on the back seats of Very Right . So it's not gonna be very comfy on a long journey and see just what it's like for two adults back here . Click it there to watch our separate practicality video , and in that you can see what it's like to fit that child seat in the back of this car on just how much stuff we could squeeze into its boot .",3
240,8,"you might not be the newest kid on the block , but it still hasn't fascinating features here s5 them .","You might not be the newest kid on the block , but it still hasn't fascinating features here S5 them .",6
240,13,"that features handy when driving out in the countryside await civilization on when you head out into the open road , you can really appreciate just how easy and relaxing this a one is to drive . so the controls on the steering world , the gear shift . the pedals are super light on on the hole for a small car , it is pretty quiet in here .","That features handy when driving out in the countryside await civilization on when you head out into the open road , You can really appreciate just how easy and relaxing this a one is to drive . So the controls on the steering world , the gear shift . The pedals are super light on on the hole for a small car , it is pretty quiet in here .",4
240,14,"i think the only problem i have is the fact that these pillars here at the front and at the back credit but of a blind spot . now , for a better look around this car , you can click up there to watch our 360 degree video .","I think the only problem I have is the fact that these pillars here at the front and at the back credit but of a blind spot . Now , for a better look around this car , you can click up there to watch our 360 degree video .",5
240,15,"now , another thing you need to know is that if you go for the entry level s c car , it has a nice , soft , comfortable suspension on the right is really good . but the sport and s line models have a firmer set up on that just ruins the ride for no improvement in any going to sporting us at all . in fact , if you're looking for fun , yeah , you've come to the wrong place . if you're in an audi a8 one because of many , or industry is definitely more enjoyable to drive when it comes to throwing a car down a back road . you can if you want fit adopted dumpers to this car , which have a comfort in dynamic mode .","Now , another thing you need to know is that if you go for the entry level s C car , it has a nice , soft , comfortable suspension on the right is really good . But the sport and S line models have a firmer set up on that just ruins the ride for no improvement in any going to sporting us at all . In fact , if you're looking for fun , yeah , you've come to the wrong place . If you're in an Audi A8 one because of many , or industry is definitely more enjoyable to drive when it comes to throwing a car down a back road . You can if you want fit adopted dumpers to this car , which have a comfort in dynamic mode .",4
240,17,so there's no central armrest in this car's .,So there's no central armrest in this car's .,1
240,18,"if you're driving along on the motorway , you're kind of always going like , okay , then . so overall what i think of the audi a one well redhead room , it's a little bit cramped on dhe .","If you're driving along on the motorway , you're kind of always going like , Okay , then . So overall what I think of the Audi A one well redhead room , it's a little bit cramped on dhe .",3
240,19,it's not really that much fun to drive .,It's not really that much fun to drive .,4
240,20,"on the flip side , it does feel luxurious .","On the flip side , it does feel luxurious .",2
240,21,"andi , it's very economical now for more information , and to find out the best deal you can get on audi a one click there to go to car . why don't cave , don't you ? kay ? thanks for watching click over there for the group test video between the audi a one , the mini on the d s three . and if you enjoyed this video , please like it , share it and subscribe to our channel now , did you know that audi s4 rings actually represent the murder in 1932 of the company's d k w audi horse on wanderer ?","Andi , It's very economical now for more information , and to find out the best deal you can get on Audi A one click there to go to car . Why don't cave , don't you ? Kay ? Thanks for watching Click over there for the group test video between the Audi A one , the mini on the D s three . And if you enjoyed this video , please like it , share it and subscribe to our channel now , did you know that Audi S4 rings actually represent the murder in 1932 of the company's d k w Audi horse on wanderer ?",6
245,2,"for me , it's a little bit like a tor toys by . the reason for that is that the shape of it reminds me of tor toys with its shell . no . well , how about for do that ? yeah , got it .","For me , it's a little bit like a tor toys by . The reason for that is that the shape of it reminds me of Tor toys with its shell . No . Well , how about for do that ? Yeah , got it .",2
245,5,"why q3 it is getting a bit , but i was trying to spruce it up with a new grill and some flash new tail lights on . when you jump on the inside the interior of this car , i mean , it's all very nice . it's well made . it's typical . audi quality is just that . it's one of the older generation of audi cars . rather one of the more modern ones that they knew q5 , for instance , of the new a4 and as a result of the design , is starting to feel a little bit on the old side . so the layout of the controls down here , the dash design , you conquered it with a virtual cockpit .","Why Q3 It is getting a bit , but I was trying to spruce it up with a new grill and some flash new tail lights on . When you jump on the inside the interior of this car , I mean , it's all very nice . It's well made . It's typical . Audi quality is just that . It's one of the older generation of Audi cars . Rather one of the more modern ones that they knew Q5 , for instance , of the new A4 and as a result of the design , is starting to feel a little bit on the old side . So the layout of the controls down here , the dash design , you conquered it with a virtual cockpit .",2
245,6,"the way this pops up and you control it with this little wheel here , the entertainment system rather than the new mm i system down here on in . it's all right to use this entertainment system . it's just not as good . like i say is the very latest audi system on . if you look up there , you can see how full in depth review of the entertainment system for more information .","The way this pops up and you control it with this little wheel here , the entertainment system rather than the new mm I system down here on in . It's all right to use this entertainment system . It's just not as good . Like I say is the very latest Audi system on . If you look up there , you can see how full in depth review of the entertainment system for more information .",8
245,7,"but other than that , you know , it's still a very nice carter sited on .","But other than that , you know , it's still a very nice Carter sited on .",2
245,8,"it's practical as well . a bit storage injury you've got . yeah , nickel of boxes and right side . but the door been their massive that can hold bigger balls than this on this thing continues here in the back of the car . so just calling for us to show you so yeah , look , if it's no problem at all , on the whole i fit , no problem .","It's practical as well . A bit storage injury you've got . Yeah , nickel of boxes and right side . But the door been their massive that can hold bigger balls than this on this thing continues here in the back of the car . So just calling for us to show you so yeah , look , if it's no problem at all , on the whole I fit , no problem .",1
245,9,"it'll put in the room on henry , and people have six foot gonna find in the back of this q3 . carrying three is not so good , though , because this central seat is quite small and it's raised up to you to get a little less headroom . but it is doable if you need to know what's not .","It'll put in the room on Henry , and people have six foot gonna find in the back of this Q3 . Carrying three is not so good , though , because this central seat is quite small and it's raised up to you to get a little less headroom . But it is doable if you need to know what's not .",3
245,10,"double is resting on there because , yeah , there's no arrest , no ski hatch , either . which is a bit of a shame that brings onto the boot .","Double is resting on there because , yeah , there's no arrest , no ski hatch , either . Which is a bit of a shame that brings onto the boot .",1
245,11,"so the boot of the q3 is smaller than that on the mercedes gel a . and it's more than that other bmw x1 . it's bigger than that , then on an a3 , though , so it might be enough for most people . nice square shape . as you can see , it's got the usual kind of features . expecting these kind of cars , they got some tethering points there . why can't see for love , nor money is 12 volt socket . so if you want to hoover at the boot or plug into electrical devices , you can't even under there . but look , we do have a space saver , spare will and a little bit extra stories around the edges . if i fold the seats down , you'll see how the land does lie and you'll say that it doesn't like completely flat that the floor is continuous , which does help when sliding things . that , though this bit of google , it does cause a bit of an obstruction . but it's not too large , and you got nice scuff play over it , so you don't scratch the paintwork . actually , i'll tell you one thing about this car because the boots quite wide , it does provide a shelter when it's raining . if you want to know how much that if you actually come into this car boot click up there , watch our detail practicality , video .","So the boot of the Q3 is smaller than that on the Mercedes Gel A . And it's more than that other BMW X1 . It's bigger than that , then on an A3 , though , so it might be enough for most people . Nice square shape . As you can see , it's got the usual kind of features . Expecting these kind of cars , they got some tethering points there . Why can't see for love , nor money is 12 volt socket . So if you want to hoover at the boot or plug into electrical devices , you can't even under there . But look , we do have a space saver , spare will and a little bit extra stories around the edges . If I fold the seats down , you'll see how the land does lie and you'll say that it doesn't like completely flat that the floor is continuous , which does help when sliding things . That , though this bit of Google , it does cause a bit of an obstruction . But it's not too large , and you got nice scuff play over it , so you don't scratch the paintwork . Actually , I'll tell you one thing about this car because the boots quite wide , it does provide a shelter when it's raining . If you want to know how much that if you actually come into this car boot click up there , watch our detail practicality , video .",9
245,13,"but you can't wait . now , though , it's time to find out what the q3 is like to drive . so let's hit the road . so this q3 ds . it's actually a fairly pleasant car to drive , so it does something that allowed is due where it goes about its business without too much fuss . it does everything rather well , but doesn't particular set the world alight , so the handling it sure footed it's grippy , especially this one got cultural will drive . yeah , it goes with your pointing . you just don't feel too much of what's going on . but you don't really care , because the flip side of that is that you don't feel too much of what's going on when you're driving around town . it's all nice and easy . that's what most bars will like . comfort wise . no bad . so it goes of bones well enough , though eslite models have loads different suspension on they get . big world does impact on the ride , but you can ask your data to fit the car with comfort suspension on our recommend . you do that . you can also fit adaptive dampers if you want to .","But you can't wait . Now , though , it's time to find out what the Q3 is like to drive . So let's hit the road . So this Q3 DS . It's actually a fairly pleasant car to drive , so it does something that allowed is due where it goes about its business without too much fuss . It does everything rather well , but doesn't particular set the world alight , so the handling it sure footed it's grippy , especially this one got cultural will drive . Yeah , it goes with your pointing . You just don't feel too much of what's going on . But you don't really care , because the flip side of that is that you don't feel too much of what's going on when you're driving around town . It's all nice and easy . That's what most bars will like . Comfort wise . No bad . So it goes of bones well enough , though Eslite models have loads different suspension on they get . Big World does impact on the ride , but you can ask your data to fit the car with comfort suspension on our recommend . You do that . You can also fit adaptive dampers if you want to .",4
245,14,"in terms of sound , insulation is generally pretty good . there is better tire roar , and i think visibility is quite nice in this car .","In terms of sound , insulation is generally pretty good . There is better tire roar , and I think visibility is quite nice in this car .",3
245,15,"see , sit up tall to get a decent view out . dr . many blind spots decent view out the back window , and if you want to save yourself , click up there to join me for 360 great passenger right video .","See , sit up tall to get a decent view out . Dr . Many blind spots decent view out the back window , and if you want to save yourself , click up there to join me for 360 great passenger right video .",5
245,16,"they get the q3 where two petrol or two diesel engines , and if i were you , i will go for the 1.4 liter turbo petrol with 150 horsepower . it's nippy , it's smooth , gives decent economy on you could get it has front wheel drive only , which will save you some money . and it's about it you don't really need or will drive . this car q3 is also available in the six speed manual , which is lord or this seven speed automatic , which is also very good . this particular car has a two litre diesel engine in it , with cultural will drive on the estrada gearbox , and it should be able to do about 53 miles per gallon . but i'm averaging 40 . still , it's fairly quick . it's got 180 horsepower . a girl like this .","They get the Q3 where two petrol or two diesel engines , and if I were you , I will go for the 1.4 liter turbo petrol with 150 horsepower . It's nippy , It's smooth , gives decent economy on you could get it has front wheel drive only , which will save you some money . And it's about it you don't really need or will drive . This car Q3 is also available in the six speed manual , which is Lord or this seven speed automatic , which is also very good . This particular car has a two litre diesel engine in it , with cultural will drive on the Estrada gearbox , and it should be able to do about 53 miles per gallon . But I'm averaging 40 . Still , it's fairly quick . It's got 180 horsepower . A girl like this .",0
245,17,"there's plenty to like about the idea . q3 , however , it does have a few annoying features is five .","There's plenty to like about the idea . Q3 , however , it does have a few annoying features is five .",6
245,20,"this fake plastic honeycomb grill just looks a bit tacky , though the producer does quite like it , however , he's no arbiter of star . look at your shoes .","This fake plastic honeycomb grill just looks a bit tacky , though the producer does quite like it , however , he's no arbiter of star . Look at your shoes .",2
245,21,"this press car came with a little feedback for well , i wasn't feedback for you . audi no . one listens to cds anymore .","This press car came with a little feedback for Well , I wasn't feedback for you . Audi No . One listens to CDs anymore .",1
245,23,"thankfully , there's still plenty to like about the audi q3 to help make up for all this .","Thankfully , there's still plenty to like about the Audi Q3 to help make up for all this .",6
245,25,this surfaces grippy to stop your keys rattling around the place on .,This surfaces grippy to stop your keys rattling around the place on .,2
245,26,you've even got a little hook . be shopping .,You've even got a little hook . Be shopping .,1
245,28,"the q3 has a retractable parcel shelf , just like a proper suv . should on . you can play like an accordion front passenger seat has ice picks , anchor points . perfect fitting the baby seats .","The Q3 has a retractable parcel shelf , just like a proper SUV . Should on . You can play like an accordion front passenger seat has ice picks , anchor points . Perfect fitting the baby seats .",1
246,1,"hello and welcome to the top of pikes peak in colorado , usa . it's about 4:30 a.m. in the morning . i'm freezing cold completely underdressed because i didn't realize it be this cold at around 4500 meters above sea level . anyway , i'm here with the new audi trying on . the idea is that normal people , they drive up , they raise up pikes peak here , we're going to the opposite . we're gonna roll down it . reason being this is out his first ever electric vehicle . and we want to see just how good his energy regeneration system is .","Hello and welcome to the top of Pikes Peak in Colorado , USA . It's about 4:30 a.m. In the morning . I'm freezing cold completely underdressed because I didn't realize it be this cold at around 4500 meters above sea level . Anyway , I'm here with the new Audi trying on . The idea is that normal people , they drive up , they raise up Pikes Peak here , we're going to the opposite . We're gonna roll down it . Reason being this is out his first ever electric vehicle . And we want to see just how good his energy regeneration system is .",6
