id,segment_id,review,review_uncleaned,label_topic
23,3,"thesixty m5 was only available with an automatic gearbox . it actually uses a robot ties manual on it's called the sng on you . control it with this lever here on , you can alter the ferocity of the shift by using this button . now there's some other buttons down the side of it . one for the electric done post . put them into different stiffness settings . one for the stability control . turn it off if you want to on one for the power , which alters the throttle response . the car's heads up display shows the rev . counter there . the graphic doesn't like it's been drawn on by a child . you may be wondering where the heck the car's cup holders are . well , there's one here for the passenger , which doesn't seem to actually operate that well anymore . come on , there we go . so you put your cup in there and here's the one for the driver . look , come on , it's an old girl swings out towards them .","Thesixty M5 was only available with an automatic gearbox . It actually uses a robot ties manual on it's called the SNG on You . Control it with this lever here on , you can alter the ferocity of the shift by using this button . Now there's some other buttons down the side of it . One for the electric done post . Put them into different stiffness settings . One for the stability control . Turn it off if you want to On one for the power , which alters the throttle response . The car's heads up display shows the rev . Counter there . The graphic doesn't like it's been drawn on by a child . You may be wondering where the heck the car's cup holders are . Well , there's one here for the passenger , which doesn't seem to actually operate that well anymore . Come on , there we go . So you put your cup in there and here's the one for the driver . Look , come on , It's an old girl swings out towards them .",1
23,4,as with the case of them cars . it has a really limited slip differential for improved corn .,As with the case of them cars . It has a really limited slip differential for improved corn .,2
23,5,"extinct traction handy when you got over 500 horsepower thesixty , five years was a second car in the bentley range to get it , i drive system . this isn't the very first version of it . look , let's just say this . they come a long way since the early notice .","Extinct traction handy when you got over 500 horsepower Thesixty , five years was a second car in the Bentley range To get it , I drive system . This isn't the very first version of it . Look , let's just say this . They come a long way since the early notice .",4
23,6,"i love the way when you open the ashtray , a little lighter cigarette lighter pops up and it hides itself away many times it .","I love the way when you open the ashtray , a little lighter cigarette lighter pops up and it hides itself away many times it .",1
23,7,"this particular car has steel brakes , but you could get the east 60 m5 with carbon ceramics ideal for those who tracked their cars .","This particular car has steel brakes , but you could get the East 60 M5 with carbon ceramics ideal for those who tracked their cars .",2
23,8,"this is what this car is all about . it's fabulous vita engine . it's naturally aspirated . it's got five liters . it revs to over 8000 rpm . he delivers 507 horsepower and scott 500e 20 newton meters e s7 ticket buying . i'm tired , but what engine ?","This is what this car is all about . It's fabulous Vita engine . It's naturally aspirated . It's got five liters . It revs to over 8000 rpm . He delivers 507 horsepower and Scott 500E 20 Newton meters e S7 ticket buying . I'm tired , but what engine ?",0
23,11,"one thing i know , it's straight with steering is so nice . it's light , but you can feel exactly what's going on .","One thing I know , it's straight with steering is so nice . It's light , but you can feel exactly what's going on .",4
23,12,"and it's so quick , so sharp , injured i just want this engine . it's a bonus that you get the car with it . right ? suspension as well . it's got electric double control droids . pretty . when you move it around beneath you make such a lovely it pulls really hard after sex or most engine . just the red line . you got another 2000 rpm . it's such a delightful thing .","And it's so quick , so sharp , injured I just want this engine . It's a bonus that you get the car with it . Right ? Suspension as well . It's got electric double control droids . Pretty . When you move it around beneath you make such a lovely It pulls really hard after sex or most engine . Just the red line . You got another 2000 rpm . It's such a delightful thing .",0
23,13,"it's amazing , gabe looks like i'm jumping around it . really . the gearbox is rubbish . it is rubbish . it's something that fell so dated that single rober ties manual auto . just and you can speed up the shifts off , slow them down . but either way it's bad .","It's amazing , Gabe Looks like I'm jumping around it . Really . The gearbox is rubbish . It is rubbish . It's something that fell so dated that single Rober ties manual auto . Just and you can speed up the shifts off , slow them down . But either way it's bad .",0
23,14,it's just flickering over me like crazy .,It's just flickering over me like crazy .,5
24,1,"this is the new bmw a8 siris on dhe . it's a large gt coach sits at the top of the range , which means it's pasha than s7 , siri's or the six areas . the last time bmw didn't a8 siri's , it was about 20 years ago . there is they're all kind of swoopy and sleek . now . we'd like to see what i looked like 20 years ago . if i h is a well , look , there's may or fresh faced . not so much .","This is the new BMW A8 Siris on Dhe . It's a large GT coach sits at the top of the range , which means it's Pasha than S7 , Siri's or the Six areas . The last time BMW didn't A8 Siri's , it was about 20 years ago . There is they're all kind of swoopy and sleek . Now . We'd like to see what I looked like 20 years ago . If I h is a well , look , there's May or fresh faced . Not so much .",6
24,2,"now let's talk about the face of this a8 siri's . you see , i do quite like it , but i'm not so sure about the big grill . it kind of reminds of the nose on the pigs of the angry birds down the sides , though it's got a great profile , this car really sleek and long . i like the fact this one's got the optional carbon roof . that just adds to the sporty flavour right in the back . this has got a sweet ass . look at that back end . now , i'm not so sure about this . spoil it kind of looks a little bit stuck on . i wish it was integrated maur into the body . still , overall , it's a really smart looking car , but you do have to pay for it .","Now let's talk about the face of this A8 Siri's . You see , I do quite like it , but I'm not so sure about the Big Grill . It kind of reminds of the nose on the pigs of the angry birds down the sides , though it's got a great profile , this car really sleek and long . I like the fact this one's got the optional carbon roof . That just adds to the sporty flavour right in the back . This has got a sweet ass . Look at that back end . Now , I'm not so sure about this . Spoil it kind of looks a little bit stuck on . I wish it was integrated Maur into the body . Still , overall , it's a really smart looking car , but you do have to pay for it .",2
24,4,"v8 siri's is supposed to the pinnacle of the bmw rain . so does it feel suitably special enough compared to normal bmws ? toward that end , i think yes , it does . just about it doesn't quite have the possessor of a mercedes s class coupe , but it's still pretty nice .","V8 Siri's is supposed to the pinnacle of the BMW rain . So does it feel suitably special enough compared to normal BMWs ? Toward that end , I think yes , it does . Just about it doesn't quite have the possessor of a Mercedes s Class coupe , but it's still pretty nice .",6
24,5,"i want to show you this . this center console design is reminiscent of the original a8 syria's look very similar . yes , i'm a bit of a car geek . now , let's talk about the quality . so you've got leather on the dash , which feels very well maze . there's metallic effect here . you gotta get up here . i just wish that they had metal window switches like you get in mercedes s class coupe a8 . however , unlike mercedes-benz , consecrate pay which just have the odd , really cheap feeling , better trim about the place which lets the side down . this doesn't have any . everything feels quality and good way to test the car's quality is with the sun visor , just how assaulted it feels and how well the mirror cover slides and that feels expensive . i was like the fact they got metallic effects here for the climate control running events . you've got the light design as well . very nice on dde . i thought you got frameless mirrors and horrible best all round in which i can feel a little bit . chief terry , this is really nice . also like what they've done here , the way they have all the driving control . just in one part . now this particular car is fitted with the sections of pound optional crafted clarity is bmw cause it , and that includes glass elements for the drive controller . then you stop stop on by the on off control there on the stereo as well as a big crystal gear selector knob . now , i'm not too keen on this in the lesser bmws , but it's kind of okay here in the very cautious bmw , and it has an expensive ish feel to it .","I want to show you this . This center console design is reminiscent of the original A8 Syria's look very similar . Yes , I'm a bit of a car geek . Now , let's talk about the quality . So you've got leather on the dash , which feels very well maze . There's metallic effect here . You gotta get up here . I just wish that they had metal window switches like you get in Mercedes s class Coupe A8 . However , unlike Mercedes-Benz , consecrate pay which just have the odd , really cheap feeling , better trim about the place which lets the side down . This doesn't have any . Everything feels quality and good way to test The car's quality is with the sun visor , just how assaulted it feels and how well the mirror cover slides and that feels expensive . I was like the fact they got metallic effects here for the climate control running events . You've got the light design as well . Very nice on DDE . I thought you got frameless mirrors and horrible best all round in which I can feel a little bit . Chief Terry , this is really nice . Also like what they've done here , the way they have all the driving control . Just in one part . Now this particular car is fitted with the sections of pound optional crafted clarity is BMW cause it , and that includes glass elements for the drive controller . Then you stop Stop on by the on off control there on the stereo as well as a big crystal gear selector knob . Now , I'm not too keen on this in the lesser BMWs , but it's kind of okay here in the very cautious BMW , and it has an expensive ish feel to it .",2
24,6,"let's talk about the practicality here in the coming , so i like the fact that look at this . you have got electric control for the steering will . also , the seating position is spawning . sit nice and low . it does have a low roof on this car , but you can get the seat loan of . if you're tall , you should just about be okay . there's a course plaintiff adjustment in the sea . you can push it all the way back if you get really , really long legs . the seats themselves are very comfortable , and you can adjust them for lumbar support as well on stretch out the base for more under leg support . really nice day . it's comfy on long journeys .","Let's talk about the practicality here in the coming , so I like the fact that look at this . You have got electric control for the steering will . Also , the seating position is spawning . Sit nice and low . It does have a low roof on this car , but you can get the seat loan of . If you're tall , you should just about be okay . There's a course plaintiff adjustment in the sea . You can push it all the way back if you get really , really long legs . The seats themselves are very comfortable , and you can adjust them for lumbar support as well on stretch out the base for more under leg support . Really nice day . It's comfy on long journeys .",3
24,7,"this particular car got here as an m sport upgrade on it , and it includes on in sports steering , which is pretty nice . it's got heated function on it here as well . it's handy to get to on looking for emma sports seat belts for an added a dash of color here in the cabin . the package also includes alcatel off the reef lining , which does just add to the luxury field .","This particular car got here as an M sport upgrade on it , and it includes on in sports steering , which is pretty nice . It's got heated function on it here as well . It's handy to get to on looking for Emma Sports seat belts for an added a dash of color here in the cabin . The package also includes Alcatel off the reef lining , which does just add to the luxury field .",1
24,8,"now let's talk about this entertainment system because a8 serious gets the latest version of bmw's i drive so you can operate it by touching it . you can use voice commands by going , hey , bmw , what's the time ? it is 14 58 . you can also control it by gesture . so , yeah , if i do that , come on . there we go . i can wave my hand about and control certain things on dhe . i do use it for the volume . onda , like hey , can skip trucks by going on . that's it . recognizing my jester , that's quite good fun . it's nice to use on some way . he seems a bit more intuitive than actually pressing a button on the steering wheel to do it . there are more functions than in previous bmws , but it's not too confusing the hell out the many , just as you want it as it's customizable . if you want , you can use the old fashioned swivel well , which is actually pretty good when you're driving along . it's nice and easy to operate , and you could just wait three different menus and just activate different things . so it's good . they've retained that unlike audi , which has got rid of this with the world control and just come fully touch screen , which isn't such a good idea . you can use the entertainment system to control all the cards major functions and can do things like or to the color of the interior ambient lighting , which is standard on this car . there's not too many colors to choose from , but there's enough . you gotta think about blue green , but i think it just looks better with orange to match the exterior paint . it's pretty cool . also have various online app , so you can do things like check the weather or the news . and there's even a concierge service where you can contact someone at bmw for help with the car or taxi program . you're certain of remotely instead , simple . my only major real problem with this entertainment system is the fact that when you have apple carplay , there is no android auto , so i can't connect my phone to it , and i'd like to . still , the screen is very sharp . the graphics look good on the map is really responsive when you try and move it around . now let's move on to the digital drivers display , which i don't think it's quite a successful as those in an audi or a mercedes so part . the reason is that it's all quite dark . it doesn't quite the functionality , either . you get in the other german cars as well , so you can choose different views . and things are . but it's not quite extensive . also , not a big fan of the rev counter game backwards . now they've done that so that the freedom space in the middle for the satnav , unfortunately , is no that clear . one thing i will point out , though , is i like the fact they have the little graphic of the car , and it showed in the color that you have the car , which is a nice touch . the specifications on this car is really , really good as standard in the uk we get there sport version , which has a ll the kit you really need . finally , let's talk about the cubby spaces because they do matter if you're gonna be in a grand tour . a crossing continents . so the door bins along , but not really very wide . so i could just about squeeze that intuit . the glove box is so safe the manual does take of a bit of space beacon away . really , because you have the manual installed on the court entertainment system . so just use that one instead . under here , you do have quite a bit of space , and you've got your usb c . now , what is that ? your species socket there to plug in . the mobile device is also under here . you have a normal usb socket so you can plug in your phone system there as well . and there's a little pad there for wallace charging for your mobile phone or to charge the cause . kay , you got a couple of cup holders here . why ? any problem in the cup holders is that this part of the cover just hangs over the top of its gonna be careful not to catch your coffee cup when you're lifting , acting much , spill it everywhere . and i mean really , really annoying .","Now let's talk about this entertainment system because A8 serious gets the latest version of BMW's I drive so you can operate it by touching it . You can use voice commands by going , Hey , BMW , what's the time ? It is 14 58 . You can also control it by gesture . So , yeah , if I do that , come on . There we go . I can wave my hand about and control certain things on dhe . I do use it for the volume . Onda , like Hey , can skip trucks by going on . That's it . Recognizing my jester , that's quite good fun . It's nice to use on some way . He seems a bit more intuitive than actually pressing a button on the steering wheel to do it . There are more functions than in previous BMWs , but it's not too confusing the hell out the many , just as you want it as it's customizable . If you want , you can use the old fashioned swivel well , which is actually pretty good when you're driving along . It's nice and easy to operate , and you could just wait three different menus and just activate different things . So it's good . They've retained that unlike Audi , which has got rid of this with the world control and just come fully touch screen , which isn't such a good idea . You can use the entertainment system to control all the cards major functions and can do things like or to the color of the interior ambient lighting , which is standard on this car . There's not too many colors to choose from , but there's enough . You gotta think about Blue Green , but I think it just looks better with orange to match the exterior paint . It's pretty cool . Also have various online app , so you can do things like check the weather or the news . And there's even a concierge service where you can contact someone at BMW for help with the car or taxi program . You're certain of remotely instead , simple . My only major real problem with this entertainment system is the fact that when you have Apple carplay , there is no android auto , so I can't connect my phone to it , and I'd like to . Still , the screen is very sharp . The graphics look good on the map is really responsive when you try and move it around . Now let's move on to the digital drivers display , which I don't think it's quite a successful as those in an Audi or a Mercedes so part . The reason is that it's all quite dark . It doesn't quite the functionality , either . You get in the other German cars as well , so you can choose different views . And things are . But it's not quite extensive . Also , not a big fan of the rev counter game backwards . Now they've done that so that the freedom space in the middle for the satnav , unfortunately , is no that clear . One thing I will point out , though , is I like the fact they have the little graphic of the car , and it showed in the color that you have the car , which is a nice touch . The specifications on this car is really , really good as standard in the UK we get there sport version , which has a ll the kit you really need . Finally , let's talk about the cubby spaces because they do matter if you're gonna be in a grand tour . A crossing continents . So the door bins along , but not really very wide . So I could just about squeeze that intuit . The glove box is so safe the manual does take of a bit of space beacon away . Really , because you have the manual installed on the court entertainment system . So just use that one instead . Under here , you do have quite a bit of space , and you've got your USB C . Now , what is that ? Your species socket there to plug in . The mobile device is also under here . You have a normal USB socket so you can plug in your phone system there as well . And there's a little pad there for Wallace charging for your mobile phone or to charge the cause . Kay , you got a couple of cup holders here . Why ? Any problem in the Cup holders is that this part of the cover just hangs over the top of its gonna be careful not to catch your coffee cup when you're lifting , acting much , spill it everywhere . And I mean really , really annoying .",8
