,Unnamed: 0,id,segment_id,aspect,opinion,sentiment
0,0,23,1,-,-,-
1,1,23,2,-,-,-
2,2,23,3,graphic,drawn on by the child,neg
3,,23,3,cup holder (passenger),doesn't seem to operate that well,neg
4,3,23,4,slip differential,limited,neg
5,4,23,5,Extrinct traction,handy,pos
6,5,23,6,ashtray,love,pos
7,6,23,7,carbon ceramics,ideal,pos
8,7,23,8,Vita Engine,fabulous,pos
9,8,23,9,-,-,-
10,9,23,10,-,-,-
11,10,23,11,steering,so nice,pos
12,,23,11,steering,light,pos
13,11,23,12,engine,quick,pos
14,,23,12,engine,sharp,pos
15,,23,12,suspension,pretty,pos
16,,23,12,engine,delightful,pos
17,12,23,13,gearbox,rubbish,neg
18,,23,13,gearbox,dated,neg
19,,23,13,gearbox,bad,neg
20,13,23,14,gearbox,flickering,neg
21,14,23,15,-,-,-
22,15,23,16,-,-,-
23,16,24,1,large,GT coach,neu
24,,24,1,car,swoopy,pos
25,,24,1,car,sleek,pos
26,17,24,2,profile,great,pos
27,,24,2,Big Grill,not sure,neg
28,,24,2,car,sleek,pos
29,,24,2,car,long,neu
30,,24,2,car,smart  looking,pos
31,,24,2,backend,sweet,pos
32,18,24,3,-,-,-
33,19,24,4,car (8 Siri's),special enough,neu
34,,24,4,car (8 Siri's),pretty nice,neu
35,20,24,5,leather,feels very well,pos
36,,24,5,everything,feels quality,pos
37,,24,5,mirror cover,feels expensive,pos
38,,24,5,design,light,neu
39,,24,5,feel,expensive ish,pos
40,,24,5,gear selector knob,big,neu
41,,24,5,gear selector knob,crystal,neu
42,21,24,6,seating,nice,pos
43,,24,6,seating,low,pos
44,,24,6,seating,spawning,pos
45,,24,6,roof,low,neu
46,,24,6,seating,comfortable,pos
47,,24,6,electric control for steering will,like,pos
48,22,24,7,sports steering,pretty nice,pos
49,23,24,8,entertainment system,quite good fun,neu
50,,24,8,entertainment system,nice to use,pos
51,,24,8,entertainment system,intuitive,pos
52,24,24,9,passenger in the back,annoying,neg
53,,24,9,roof,low,neg
54,,24,9,legs,crush,neg
55,,24,9,back,not as comfy,neg
56,25,24,10,big,boot,pos
57,,24,10,decent size,boot,pos
58,,24,10,Lip,isn't too big,neg
59,,24,10,boot,large,pos
60,,24,10,floor,flattish,neu
61,,24,10,boot,impressive,pos
62,26,24,11,-,-,-
63,27,24,12,-,-,-
64,28,24,13,exhaust pipe,just a show,neg
65,,24,13,exhaust pipe,ruined,neg
66,,24,13,exhaust pipe surround,fake,neg
67,,24,13,exhaust pipe surround,unnecessarily large,neg
68,29,24,14,satnav,not the smartest,neg
69,,24,14,picking the route,annoying,neg
70,30,24,15,-,-,-
71,31,24,16,system,ironic,neg
72,32,24,17,marina leather,soft,pos
73,,24,17,acceleration noise,wierd,neg
74,33,24,18,-,-,-
75,34,24,19,features,cool,pos
76,,24,19,heads up display,really good,pos
77,35,24,20,heads up display,nice,pos
78,,24,20,heads up display,big,pos
79,,24,20,heads up display,clear,pos
80,36,24,21,camera,brilliant,pos
81,,24,21,Reversing assistant,handy,pos
82,37,24,22,Reversing assistant,cool,pos
83,38,24,23,laser headlights,twice as bright,pos
84,39,24,24,cruise control,really cleaver,pos
85,,24,24,piloted drive system,among the very best,pos
86,40,24,25,outside,massive,neu
87,,24,25,inside,quite compact,neu
88,,24,25,bonnet,huge,neu
89,,24,25,visibility,quite intimidating in tight spaces,neg
90,,24,25,back window,big,neu
91,41,24,26,experience in town (drive),actually quite good,pos
92,,24,26,drive,feel the bump's more,neg
