values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
technology,tech,,,Other,,Other,,Software / Interaction
adjustment,,,,Other,,Other,,
2.5 litre petrol engine,engine,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
functionality,,,,Other,,Other,,
engine sound,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
stops,,,,Other,,Other,,brake
haptic feedback,,,,Other,,Other,,
kilometres,,,,Other,,Other,,
features,,,,Other,,Other,,
handled,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
RS7,,,,Other,,Other,,Generic Car Terms
rear track,,,,Other,,Other,,Road Terrain
get in and out -back,door,,,Other,,Other,,Doors
simplicity,,,,Other,,Other,,
camera on the roof,,,,Other,,Body & Exterior,,roof
manoeuvring,,,,Other,,Other,,
spring,,,,Other,,Other,,Suspension
damper control,,,,Other,,Other,,Suspension
portfolio,,,,Other,,Other,,
load lips,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
cockpit,,,,Other,,Other,,Displays / Instrumentation
loading,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
start stop,,,,Other,,Engine & Performance,,brake
vehicle,,,,Other,,Other,,
sports plus,,,,Other,,Other,,
size,,,,Other,,Other,,
centre armrest,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
scuff plate,,,,Other,,Other,,
going fast on motorway,,,,Other,,Other,,Road Terrain
Mercedes badge,,,,Other,,Other,,Generic Car Terms
body lines,,,,Other,,Body & Exterior,,
level,,,,Other,,Other,,
rear wheel drive,,,,Drivetrain,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Wheels & Tyres
Interior,,,,Other,,Other,,
sporting,,,,Other,,Other,,
sports mode sound,,,,Other,,Other,,
surface,,,,Other,,Other,,Road Terrain
sand,,,,Other,,Other,,Road Terrain
radio,,,,Other,,Other,,
