,Unnamed: 0,aspect,base_category,MAIN_CATEGORY
0,0,miles,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
1,1,mechanical upgrades,engine / power train,POWERTRAIN / PERFORMANCE
2,2,circular dial,physical controls,INTERIOR / COMFORT / ERGONOMICS
3,3,a5 cooper,model / generic car terms,GENERAL INFORMATION
4,4,rs5 quality,quality & durability,GENERAL INFORMATION
5,5,e 43 a m g,model / generic car terms,GENERAL INFORMATION
6,6,land rover discovery sport,model / generic car terms,GENERAL INFORMATION
7,7,rubber,exterior materials & finish,EXTERIOR / STYLING / DESIGN
8,8,models,generic description & miscellaneous,GENERAL INFORMATION
9,9,transmission,transmission,POWERTRAIN / PERFORMANCE
10,10,years,generic description & miscellaneous,GENERAL INFORMATION
11,11,space,passenger space,INTERIOR / COMFORT / ERGONOMICS
12,12,blowers,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
13,13,entertainment screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
14,14,dynamic exhaust,exhaust,POWERTRAIN / PERFORMANCE
15,15,corner in wet weather,road terrain,HANDLING / DYNAMICS
16,16,bumper sticks,bumper,EXTERIOR / STYLING / DESIGN
17,17,delivering,performance,POWERTRAIN / PERFORMANCE
18,18,air blower,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
19,19,load lips,boot / cargo,FUNCTIONAL / UTILITY FEATURES
20,20,suspension tuning,suspension,HANDLING / DYNAMICS
21,21,quilting,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
22,22,locks,keys & lock,SAFETY
23,23,sound,audio,EMOTIONAL / SENSORY / VISUAL
24,24,sharp bumps,road terrain,HANDLING / DYNAMICS
25,25,m5 competition,model / generic car terms,GENERAL INFORMATION
26,26,m 8 50 i the 4.4 litre twin turbo v8,engine / power train,POWERTRAIN / PERFORMANCE
27,27,sd card slot,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
28,28,no control for rear window,functionality & features,FUNCTIONAL / UTILITY FEATURES
29,29,charge,fuel / energy / charging,POWERTRAIN / PERFORMANCE
30,30,consumption,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
