aspect,base_category,MAIN_CATEGORY
miles,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
mechanical upgrades,engine / power train,POWERTRAIN / PERFORMANCE
circular dial,physical controls,INTERIOR / COMFORT / ERGONOMICS
a5 cooper,model / generic car terms,GENERAL INFORMATION
rs5 quality,quality & durability,GENERAL INFORMATION
e 43 a m g,model / generic car terms,GENERAL INFORMATION
land rover discovery sport,model / generic car terms,GENERAL INFORMATION
rubber,exterior materials & finish,EXTERIOR / STYLING / DESIGN
models,generic description & miscellaneous,GENERAL INFORMATION
transmission,transmission,POWERTRAIN / PERFORMANCE
years,generic description & miscellaneous,GENERAL INFORMATION
space,passenger space,INTERIOR / COMFORT / ERGONOMICS
blowers,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
entertainment screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
dynamic exhaust,exhaust,POWERTRAIN / PERFORMANCE
corner in wet weather,road terrain,HANDLING / DYNAMICS
bumper sticks,bumper,EXTERIOR / STYLING / DESIGN
delivering,engine / power train,POWERTRAIN / PERFORMANCE
air blower,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
load lips,boot / cargo,FUNCTIONAL / UTILITY FEATURES
suspension tuning,suspension,HANDLING / DYNAMICS
quilting,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
locks,keys & lock,SAFETY
sound,audio,EMOTIONAL / SENSORY / VISUAL
sharp bumps,road terrain,HANDLING / DYNAMICS
m5 competition,model / generic car terms,GENERAL INFORMATION
m 8 50 i the 4.4 litre twin turbo v8,engine / power train,POWERTRAIN / PERFORMANCE
sd card slot,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
no control for rear window,functionality & features,FUNCTIONAL / UTILITY FEATURES
charge,fuel / energy / charging,POWERTRAIN / PERFORMANCE
consumption,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
apple carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
modern startup technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
wood trim effect,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
mud,road terrain,HANDLING / DYNAMICS
back seat control,seats,INTERIOR / COMFORT / ERGONOMICS
arm,seats,INTERIOR / COMFORT / ERGONOMICS
rear passenger space,passenger space,INTERIOR / COMFORT / ERGONOMICS
comfort suspension corner handling,driving dynamics / handling,HANDLING / DYNAMICS
inside enhancements,interior,INTERIOR / COMFORT / ERGONOMICS
apple carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
cargo room,boot / cargo,FUNCTIONAL / UTILITY FEATURES
rotate,driving dynamics / handling,HANDLING / DYNAMICS
tires,wheels & tyres,HANDLING / DYNAMICS
drive train technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
cargo volume,boot / cargo,FUNCTIONAL / UTILITY FEATURES
second row,passenger space,INTERIOR / COMFORT / ERGONOMICS
knee room,passenger space,INTERIOR / COMFORT / ERGONOMICS
competition pack,packages / trims / variants,GENERAL INFORMATION
soft pillow,seats,INTERIOR / COMFORT / ERGONOMICS
a6 weight,weight,DISTANCE / MEASUREMENT /  COST
few pieces of plastic,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
process,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
extra bracing,chassis / structural,STRUCTURAL
v10 twin turbo charge,engine / power train,POWERTRAIN / PERFORMANCE
reversing assistant,driver assistance,SAFETY
seven speed automatic transmission,transmission,POWERTRAIN / PERFORMANCE
load,boot / cargo,FUNCTIONAL / UTILITY FEATURES
road imperfections,road terrain,HANDLING / DYNAMICS
taste,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
hybrid engine,engine / power train,POWERTRAIN / PERFORMANCE
automatic acceleration,acceleration,POWERTRAIN / PERFORMANCE
roof rains,roof,EXTERIOR / STYLING / DESIGN
carbon ceramics,brake,HANDLING / DYNAMICS
reductive sport end suspension,suspension,HANDLING / DYNAMICS
potential performance,performance,POWERTRAIN / PERFORMANCE
driver distraction,drive,POWERTRAIN / PERFORMANCE
lighting animations,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
contouring,seats,INTERIOR / COMFORT / ERGONOMICS
aspects,generic description & miscellaneous,GENERAL INFORMATION
character lines,design,EMOTIONAL / SENSORY / VISUAL
bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
fold down rear seats,seats,INTERIOR / COMFORT / ERGONOMICS
buy,value / cost,DISTANCE / MEASUREMENT /  COST
head,front section,EXTERIOR / STYLING / DESIGN
adults in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
red cable hybrid engine,engine / power train,POWERTRAIN / PERFORMANCE
magic body control,body class,EXTERIOR / STYLING / DESIGN
air suspension,suspension,HANDLING / DYNAMICS
exhaust volume,exhaust,POWERTRAIN / PERFORMANCE
