,Unnamed: 0,id,segment_id,label_topic,aspect_lemmatized,opinion_lemmatized,sentiment
0,0.0,15.0,1.0,6.0,A5,shining example high end downsizing,pos
1,,15.0,1.0,6.0,size,midsize,neu
2,1.0,15.0,2.0,2.0,shape,conservative,neu
3,,15.0,2.0,2.0,shape,lack edge,neg
4,,15.0,2.0,2.0,shape,age well,pos
5,,15.0,2.0,2.0,shape,classy,pos
6,,15.0,2.0,2.0,interior,different,pos
7,,15.0,2.0,2.0,car,mordern interpretation BMW classsic aesthetic,pos
8,2.0,15.0,3.0,4.0,character,stately,pos
9,,15.0,3.0,4.0,grip,proper BMW,pos
10,,15.0,3.0,4.0,brake,proper BMW,pos
11,,15.0,3.0,4.0,accelerate,proper BMW,pos
12,,15.0,3.0,4.0,sensation,deluded degree,pos
13,,15.0,3.0,4.0,comfort,big,pos
14,,15.0,3.0,4.0,ride quality,totally comfortable,pos
15,,15.0,3.0,4.0,ride quality,hair Mercedes Eclass,pos
16,,15.0,3.0,4.0,drive,lie smaller seven,neu
17,,15.0,3.0,4.0,luxury spectrum,bad thing,pos
18,3.0,15.0,4.0,3.0,noise suppression,positively top notch,pos
19,4.0,15.0,5.0,4.0,turning radius,insanely tight,neu
20,,15.0,5.0,4.0,seat,adjustment point,pos
21,6.0,15.0,7.0,1.0,steering wheel,laughably thick,neu
22,,15.0,7.0,1.0,sun visor,slide,neg
23,,15.0,7.0,1.0,instrument cluster,beautifully mix physical digital design element,pos
24,,15.0,7.0,1.0,seat,ruby,pos
25,7.0,15.0,8.0,9.0,center tunnel,huge,neu
26,,15.0,8.0,9.0,rear seat,foldable,pos
27,,15.0,8.0,9.0,floor,low,pos
28,,15.0,8.0,9.0,floor,flat,pos
29,,15.0,8.0,9.0,boot capacity,vast,pos
30,,15.0,8.0,9.0,boot capacity,supremely usable,pos
31,8.0,15.0,9.0,0.0,acceleration,swift,pos
32,,15.0,9.0,0.0,range,pure electric,pos
33,,15.0,9.0,0.0,engine stop start feature,save fuel,pos
34,9.0,15.0,10.0,4.0,drive mode,customized driving experience,pos
35,,15.0,10.0,4.0,drive mode,operate expected,pos
36,,15.0,10.0,4.0,ICO mode,surprisingly fun,pos
37,,15.0,10.0,4.0,sport mode,dedicated,pos
38,,15.0,10.0,4.0,front seat side bolster,tighten,pos
39,10.0,15.0,11.0,7.0,price,offer wide range,pos
40,,15.0,11.0,7.0,basic five series,perfect lovely conveyance,pos
41,,15.0,11.0,7.0,front seat,16 way adjustable,neu
42,,15.0,11.0,7.0,headlight,adaptive led,neu
43,11.0,15.0,12.0,3.0,pricier version,plethora automotive delight,pos
44,,15.0,12.0,3.0,front seat,massaging,pos
45,,15.0,12.0,3.0,front seat,ventilated,pos
46,12.0,15.0,13.0,4.0,audio system,glorious sounding,pos
47,,15.0,13.0,4.0,audio system,premium,pos
48,,15.0,13.0,4.0,steering system,adaptive,neu
49,,15.0,13.0,4.0,steering system,work well untill,neg
50,13.0,15.0,14.0,5.0,safety technology,advanced,pos
51,,15.0,14.0,5.0,side collision avoidance system,automatically steer away,pos
52,,15.0,14.0,5.0,adaptive steering,personalized,pos
53,14.0,15.0,15.0,2.0,trim,numerous upholstery,pos
54,,15.0,15.0,2.0,interior,real centrepiece,pos
55,15.0,15.0,16.0,1.0,I drive,completely revamped,pos
56,,15.0,16.0,1.0,I drive,touch screen,neu
57,,15.0,16.0,1.0,remote gesture control,simplified,pos
58,16.0,15.0,17.0,8.0,-,-,-
59,17.0,15.0,18.0,1.0,-,-,-
60,18.0,15.0,19.0,8.0,Apple carplay,work nearly good tether solution,pos
61,19.0,15.0,20.0,1.0,Android auto,unrelated technology,neg
62,20.0,15.0,21.0,1.0,camera system,coolest,pos
63,21.0,15.0,22.0,1.0,-,-,-
64,22.0,15.0,23.0,7.0,Audi A6,well rounded,pos
65,,15.0,23.0,7.0,S90,sweetest,pos
66,,15.0,23.0,7.0,price,higher starting price,neg
67,,15.0,23.0,7.0,Mercedes-Benz e class,lot like flag ship sclass,neu
68,,15.0,23.0,7.0,Mercedes-Benz e class,big fan,pos
69,,15.0,23.0,7.0,Mercedes-Benz e class,smaller,neu
70,23.0,15.0,24.0,4.0,Mercedes-Benz e class,similar concept early predecessor,neu
71,,15.0,24.0,4.0,Mercedes-Benz e class,engaging,neg
72,24.0,15.0,25.0,2.0,technology,huge leap forward,pos
73,,15.0,25.0,2.0,interior sophistication,huge leap forward,pos
74,25.0,15.0,26.0,6.0,nameplate,embracing change,pos
75,,15.0,26.0,6.0,nameplate,refreshing,pos
76,26.0,15.0,27.0,8.0,-,-,-
77,27.0,16.0,1.0,6.0,character,,pos
78,,16.0,1.0,6.0,height,lower,pos
79,,16.0,1.0,6.0,length,longer,pos
80,,16.0,1.0,6.0,car,wider,pos
81,,16.0,1.0,6.0,design,aggressively sophisticated spin,pos
82,,16.0,1.0,6.0,car,convertible,pos
83,,16.0,1.0,6.0,performance,high,pos
84,28.0,16.0,2.0,2.0,hood,elongated,neu
85,,16.0,2.0,2.0,vent,specially designed,pos
86,,16.0,2.0,2.0,vent,reduce drag,pos
87,,16.0,2.0,2.0,roofline,sweeping,neu
88,,16.0,2.0,2.0,deck lid,short,neu
89,29.0,16.0,3.0,9.0,stance,low,neu
90,,16.0,3.0,9.0,centre gravity,lowest,neu
91,,16.0,3.0,9.0,exterior design,head turning,pos
92,,16.0,3.0,9.0,interior,shortcoming,neu
93,30.0,16.0,4.0,1.0,cabin layout,elegant,pos
