,Unnamed: 0,id,segment_id,label_topic,aspect_lemmatized,opinion_lemmatized,sentiment
0,0.0,23.0,1.0,6.0,-,-,-
1,1.0,23.0,2.0,7.0,-,-,-
2,2.0,23.0,3.0,1.0,graphic,drawn child,neg
3,,23.0,3.0,1.0,cup holder (passenger),seem operate well,neg
4,3.0,23.0,4.0,2.0,slip differential,limited,neg
5,4.0,23.0,5.0,4.0,Extrinct traction,handy,pos
6,5.0,23.0,6.0,1.0,ashtray,love,pos
7,6.0,23.0,7.0,2.0,carbon ceramic,ideal,pos
8,7.0,23.0,8.0,0.0,Vita Engine,fabulous,pos
9,8.0,23.0,9.0,0.0,-,-,-
10,9.0,23.0,10.0,4.0,-,-,-
11,10.0,23.0,11.0,4.0,steering,nice,pos
12,,23.0,11.0,4.0,steering,light,pos
13,11.0,23.0,12.0,0.0,engine,quick,pos
14,,23.0,12.0,0.0,engine,sharp,pos
15,,23.0,12.0,0.0,suspension,pretty,pos
16,,23.0,12.0,0.0,engine,delightful,pos
17,12.0,23.0,13.0,0.0,gearbox,rubbish,neg
18,,23.0,13.0,0.0,gearbox,dated,neg
19,,23.0,13.0,0.0,gearbox,bad,neg
20,13.0,23.0,14.0,5.0,gearbox,flickering,neg
21,14.0,23.0,15.0,7.0,-,-,-
22,15.0,23.0,16.0,7.0,-,-,-
23,16.0,24.0,1.0,6.0,large,GT coach,neu
24,,24.0,1.0,6.0,car,swoopy,pos
25,,24.0,1.0,6.0,car,sleek,pos
26,17.0,24.0,2.0,2.0,profile,great,pos
27,,24.0,2.0,2.0,Big Grill,sure,neg
28,,24.0,2.0,2.0,car,sleek,pos
29,,24.0,2.0,2.0,car,long,neu
30,,24.0,2.0,2.0,car,smart looking,pos
31,,24.0,2.0,2.0,backend,sweet,pos
32,18.0,24.0,3.0,7.0,-,-,-
33,19.0,24.0,4.0,6.0,car (8 Siri's),special enough,neu
34,,24.0,4.0,6.0,car (8 Siri's),pretty nice,neu
35,20.0,24.0,5.0,2.0,leather,feel well,pos
36,,24.0,5.0,2.0,everything,feel quality,pos
37,,24.0,5.0,2.0,mirror cover,feel expensive,pos
38,,24.0,5.0,2.0,design,light,neu
39,,24.0,5.0,2.0,feel,expensive ish,pos
40,,24.0,5.0,2.0,gear selector knob,big,neu
41,,24.0,5.0,2.0,gear selector knob,crystal,neu
42,21.0,24.0,6.0,3.0,seating,nice,pos
43,,24.0,6.0,3.0,seating,low,pos
44,,24.0,6.0,3.0,seating,spawning,pos
45,,24.0,6.0,3.0,roof,low,neu
46,,24.0,6.0,3.0,seating,comfortable,pos
47,,24.0,6.0,3.0,electric control steering,like,pos
