,Unnamed: 0,id,segment_id,label_topic,aspect,opinion,sentiment
0,0.0,15.0,1.0,6.0,A5,shining example of high end downsizing,pos
1,,15.0,1.0,6.0,size,midsize,neu
2,1.0,15.0,2.0,2.0,shape,conservative,neu
3,,15.0,2.0,2.0,shape,lack edge,neg
4,,15.0,2.0,2.0,shape,age well,pos
5,,15.0,2.0,2.0,shape,classy,pos
6,,15.0,2.0,2.0,interior,different,pos
7,,15.0,2.0,2.0,car,mordern interpretation of BMW classsic aesthetic,pos
8,2.0,15.0,3.0,4.0,character,stately,pos
9,,15.0,3.0,4.0,grip,proper BMW,pos
10,,15.0,3.0,4.0,brake,proper BMW,pos
11,,15.0,3.0,4.0,accelerate,proper BMW,pos
12,,15.0,3.0,4.0,sensations,deluded to some degree,pos
13,,15.0,3.0,4.0,comfort,big on,pos
14,,15.0,3.0,4.0,ride quality,totally comfortable,pos
15,,15.0,3.0,4.0,ride quality,hair further than Mercedes Eclass,pos
16,,15.0,3.0,4.0,drive,more lie a smaller seven,neu
17,,15.0,3.0,4.0,luxury spectrum,not a bad thing,pos
18,3.0,15.0,4.0,3.0,noise suppression,positively top notch,pos
19,4.0,15.0,5.0,4.0,turning radius,insanely tight,neu
20,,15.0,5.0,4.0,seats,more adjustment points,pos
21,6.0,15.0,7.0,1.0,steering wheel,laughably thick,neu
22,,15.0,7.0,1.0,sun visors,don't slide,neg
23,,15.0,7.0,1.0,instrument cluster,beautifully mixes physical and digital design elements,pos
24,,15.0,7.0,1.0,seats,ruby,pos
25,7.0,15.0,8.0,9.0,center tunnel,huge,neu
26,,15.0,8.0,9.0,rear seats,foldable,pos
27,,15.0,8.0,9.0,floor,low,pos
28,,15.0,8.0,9.0,floor,flat,pos
29,,15.0,8.0,9.0,boot capacity,vast,pos
30,,15.0,8.0,9.0,boot capacity,supremely usable,pos
31,8.0,15.0,9.0,0.0,acceleration,swift,pos
32,,15.0,9.0,0.0,range,pure electric,pos
33,,15.0,9.0,0.0,engine stop start feature,saves fuel,pos
34,9.0,15.0,10.0,4.0,drive modes,customized driving experience,pos
35,,15.0,10.0,4.0,drive modes,operate as expected,pos
36,,15.0,10.0,4.0,ICO mode,surprisingly fun,pos
37,,15.0,10.0,4.0,sport mode,so dedicated,pos
38,,15.0,10.0,4.0,front seat side bolster,tighten,pos
39,10.0,15.0,11.0,7.0,price,offers wide range,pos
40,,15.0,11.0,7.0,basic five series,perfect lovely conveyance,pos
41,,15.0,11.0,7.0,front seats,16 way adjustable,neu
42,,15.0,11.0,7.0,headlights,adaptive led,neu
43,11.0,15.0,12.0,3.0,pricier versions,plethora of automotive delights,pos
44,,15.0,12.0,3.0,front seats,massaging,pos
45,,15.0,12.0,3.0,front seats,ventilated,pos
46,12.0,15.0,13.0,4.0,audio systems,glorious sounding,pos
47,,15.0,13.0,4.0,audio systems,premium,pos
48,,15.0,13.0,4.0,steering system,adaptive,neu
49,,15.0,13.0,4.0,steering system,works well untill it doesn't,neg
50,13.0,15.0,14.0,5.0,safety technology,advanced,pos
51,,15.0,14.0,5.0,side collision avoidance system,automatically steers you away,pos
52,,15.0,14.0,5.0,adaptive steering,further personalized,pos
53,14.0,15.0,15.0,2.0,trim,numerous upholstery,pos
54,,15.0,15.0,2.0,interior,real centrepieces,pos
55,15.0,15.0,16.0,1.0,I drive,completely revamped,pos
56,,15.0,16.0,1.0,I drive,touch screen,neu
57,,15.0,16.0,1.0,remote gesture control,simplified,pos
58,16.0,15.0,17.0,8.0,-,-,-
59,17.0,15.0,18.0,1.0,-,-,-
60,18.0,15.0,19.0,8.0,Apple carplay,works nearly as good as the tether solution,pos
61,19.0,15.0,20.0,1.0,Android auto,unrelated technology,neg
62,20.0,15.0,21.0,1.0,camera system,coolest,pos
63,21.0,15.0,22.0,1.0,-,-,-
64,22.0,15.0,23.0,7.0,Audi A6,well rounded,pos
65,,15.0,23.0,7.0,S90,sweetest,pos
66,,15.0,23.0,7.0,price,higher starting price,neg
67,,15.0,23.0,7.0,Mercedes-Benz e class,lot like flag ship sclass,neu
68,,15.0,23.0,7.0,Mercedes-Benz e class,big fans,pos
69,,15.0,23.0,7.0,Mercedes-Benz e class,smaller,neu
70,23.0,15.0,24.0,4.0,Mercedes-Benz e class,similar concept as early predecessors,neu
71,,15.0,24.0,4.0,Mercedes-Benz e class,not as engaging,neg
72,24.0,15.0,25.0,2.0,technology,huge leap forward,pos
73,,15.0,25.0,2.0,interior sophistication,huge leap forward,pos
74,25.0,15.0,26.0,6.0,nameplate,embracing change,pos
75,,15.0,26.0,6.0,nameplate,refreshing,pos
76,26.0,15.0,27.0,8.0,-,-,-
77,27.0,16.0,1.0,6.0,character,all on its own,pos
78,,16.0,1.0,6.0,height,lower,pos
79,,16.0,1.0,6.0,length,longer,pos
80,,16.0,1.0,6.0,car,wider,pos
81,,16.0,1.0,6.0,design,more aggressively sophisticated spin,pos
82,,16.0,1.0,6.0,car,convertible,pos
83,,16.0,1.0,6.0,performance,high,pos
84,28.0,16.0,2.0,2.0,hood,elongated,neu
85,,16.0,2.0,2.0,vents,specially designed,pos
86,,16.0,2.0,2.0,vents,reduce drag,pos
87,,16.0,2.0,2.0,roofline,sweeping,neu
88,,16.0,2.0,2.0,deck lid,short,neu
89,29.0,16.0,3.0,9.0,stance,low,neu
90,,16.0,3.0,9.0,centre of gravity,lowest,neu
91,,16.0,3.0,9.0,exterior design,head turning,pos
92,,16.0,3.0,9.0,interior,shortcoming,neu
93,30.0,16.0,4.0,1.0,cabin layout,elegant,pos
94,,16.0,4.0,1.0,cabin layout,ergonomically sound,pos
95,,16.0,4.0,1.0,cabin layout,glaring abscense of basic creature comforts,neg
96,31.0,16.0,5.0,6.0,-,-,-
97,32.0,16.0,6.0,4.0,driving dynamics,clear advantage,pos
98,,16.0,6.0,4.0,ride,impeccabbly balanced,pos
99,,16.0,6.0,4.0,handling package,renowned,pos
100,,16.0,6.0,4.0,ride quality,befitting of a car,pos
101,,16.0,6.0,4.0,noise,makes itself evident at high speed,neg
102,,16.0,6.0,4.0,suspension,work harmoniously,pos
103,,16.0,6.0,4.0,chasis,work harmoniously,pos
104,,16.0,6.0,4.0,brakes,easy to modulate,pos
105,,16.0,6.0,4.0,steering,electrically assissted,pos
106,,16.0,6.0,4.0,steering feedback,noticeably better,pos
107,,16.0,6.0,4.0,steering response,noticeably better,pos
108,,16.0,6.0,4.0,steering,some inclination towards understeer,neg
109,33.0,16.0,7.0,9.0,cargo area,larger,pos
110,34.0,16.0,8.0,3.0,rear seat,comparitively spacious,pos
111,,16.0,8.0,3.0,front quarters,ample headroom for taller drivers,pos
112,35.0,16.0,9.0,0.0,drive,all wheel,neu
113,,16.0,9.0,0.0,ICO mode,saves fuel,pos
114,,16.0,9.0,0.0,ICO mode,exceeds mpg ratings by three,pos
115,36.0,16.0,10.0,7.0,options,premium,pos
116,,16.0,10.0,7.0,steering,heated,pos
117,37.0,16.0,11.0,6.0,-,-,-
118,38.0,16.0,12.0,3.0,-,-,-
119,39.0,17.0,1.0,6.0,model,smaller,neu
120,,17.0,1.0,6.0,type,compact SUV,neu
121,40.0,17.0,2.0,2.0,exterior,sporting look for offroad activities,pos
122,,17.0,2.0,2.0,look,agressive parking maneuvers,pos
123,,17.0,2.0,2.0,roof,lower,neu
124,,17.0,2.0,2.0,roofline,more athletic,pos
125,,17.0,2.0,2.0,grill,kidney,neu
126,,17.0,2.0,2.0,grill,longer,pos
127,,17.0,2.0,2.0,headlights,new,pos
128,,17.0,2.0,2.0,tail lights,new,pos
129,,17.0,2.0,2.0,roof spoiler,downward sloping,pos
130,,17.0,2.0,2.0,look,aggressive,neu
131,,17.0,2.0,2.0,look,muscular,neu
132,,17.0,2.0,2.0,look,mean,neu
133,,17.0,2.0,2.0,interior fit and finish,piano black,neu
134,,17.0,2.0,2.0,interior fit and finish,nice,pos
135,,17.0,2.0,2.0,finish,fake,neg
136,,17.0,2.0,2.0,interior,badging everywhere,pos
137,,17.0,2.0,2.0,dashes,dramatically sparse,pos
138,,17.0,2.0,2.0,dashes,elegant,pos
139,,17.0,2.0,2.0,center stack,well thought out,pos
140,,17.0,2.0,2.0,buttons,enough,pos
141,,17.0,2.0,2.0,technology,nice balance between high and low,pos
142,,17.0,2.0,2.0,display,touchscreen,neu
143,41.0,17.0,3.0,1.0,center console,good use,pos
144,,17.0,3.0,1.0,cup holders,most integrated,pos
145,42.0,17.0,4.0,3.0,dash,makes car feels brighter,pos
146,,17.0,4.0,3.0,visibility,improves,pos
147,43.0,17.0,5.0,1.0,heads up display,larger,pos
148,,17.0,5.0,1.0,steering wheel,sport,neu
149,,17.0,5.0,1.0,digital gauge cluster,optional,neu
150,44.0,17.0,6.0,3.0,seats,firm,neu
151,,17.0,6.0,3.0,seats,like how they feel,pos
152,,17.0,6.0,3.0,seats,little lacking in snazzy looks,neg
153,,17.0,6.0,3.0,leg room second row,okay,neu
154,,17.0,6.0,3.0,headroom,okay,neu
155,,17.0,6.0,3.0,headroom,larger person might have issues,neg
156,,17.0,6.0,3.0,middle seat,not really one,neg
157,45.0,17.0,7.0,9.0,boot capacity,more,pos
158,46.0,17.0,8.0,3.0,acoustics,nice,pos
159,,17.0,8.0,3.0,wind noise,well controlled,pos
160,,17.0,8.0,3.0,city noise,well controlled,pos
161,,17.0,8.0,3.0,interior experience,really pleasent,pos
162,,17.0,8.0,3.0,acoustics,much improved,pos
163,47.0,17.0,9.0,4.0,-,-,-
164,48.0,17.0,10.0,0.0,engine,zero lag,pos
165,,17.0,10.0,0.0,eight speed automatic transmission,excellent,pos
166,,17.0,10.0,0.0,gear shifts,expeditious,pos
167,,17.0,10.0,0.0,gear shifts,well spaced,pos
168,,17.0,10.0,0.0,sports mode,little more interesting,pos
169,,17.0,10.0,0.0,sports mode,gears held longer,pos
170,,17.0,10.0,0.0,sports mode,acceleration more immediate,pos
171,,17.0,10.0,0.0,sports mode,lots more BMW,pos
172,,17.0,10.0,0.0,sports mode,more control,pos
173,,17.0,10.0,0.0,sports mode,quick acceleration,pos
174,,17.0,10.0,0.0,sports mode,situations simply hit,pos
175,49.0,17.0,11.0,4.0,ride,feels well,pos
176,,17.0,11.0,4.0,sitting,up high,pos
177,,17.0,11.0,4.0,feels,more like sedan,neu
178,,17.0,11.0,4.0,chasis,rigid but firm at right places,pos
179,,17.0,11.0,4.0,suspension,rigid but comfortable,pos
180,,17.0,11.0,4.0,balance,strikes nice,pos
181,,17.0,11.0,4.0,steering,nice resistance,pos
182,,17.0,11.0,4.0,steering,responsive,pos
183,,17.0,11.0,4.0,steering,quick,pos
184,,17.0,11.0,4.0,drive,really really great,pos
185,,17.0,11.0,4.0,inside,kind of like Goldie locks,pos
186,50.0,17.0,12.0,7.0,X Drive System,enhanced traction handling,pos
187,,17.0,12.0,7.0,X Drive System,offroad capabilities,pos
188,51.0,17.0,13.0,4.0,-,-,-
189,52.0,17.0,14.0,7.0,-,-,-
190,53.0,17.0,15.0,2.0,price,pricier,neg
