id,aspect,opinion,sentiment,category,label_topic
23,-,-,-,unknown,-1
23,-,-,-,unknown,-1
23,graphic,drawn on by the child,neg,interior-features,1
23,slip differential,limited,neg,handling,4
23,traction,handy,pos,handling,4
23,ashtray,love,pos,interior-features,1
23,carbon ceramics,ideal,pos,handling,4
23,V8 Engine,fabulous,pos,performance,0
23,-,-,-,unknown,-1
23,-,-,-,unknown,-1
23,steering,so nice,pos,handling,4
23,steering,light,pos,handling,4
23,engine,quick,pos,performance,0
23,engine,sharp,pos,performance,0
23,suspension,pretty,pos,handling,4
23,engine,delightful,pos,performance,0
23,gearbox,rubbish,neg,performance,0
23,gearbox,dated,neg,performance,0
23,gearbox,bad,neg,performance,0
23,gearbox,flickering,neg,handling,4
23,-,-,-,unknown,-1
23,-,-,-,unknown,-1
24,large,GT coach,neu,general-information,6
24,car,swoopy,pos,quality-aesthetic,2
24,car,sleek,pos,quality-aesthetic,2
24,profile,great,pos,quality-aesthetic,2
24,Grill,not sure,neg,quality-aesthetic,2
24,Grill,Big,neg,quality-aesthetic,2
24,car,sleek,pos,quality-aesthetic,2
24,car,long,neu,quality-aesthetic,2
24,car,smart  looking,pos,quality-aesthetic,2
24,backend,sweet,pos,quality-aesthetic,2
24,-,-,-,unknown,-1
24,leather,feels very well,pos,quality-aesthetic,2
24,everything,feels quality,pos,quality-aesthetic,2
24,mirror cover,feels expensive,pos,quality-aesthetic,2
24,design,light,neu,quality-aesthetic,2
24,feel,expensive ish,pos,quality-aesthetic,2
24,gear selector knob,big,neu,quality-aesthetic,2
24,gear selector knob,crystal,neu,quality-aesthetic,2
24,seating,nice,pos,comfort,3
24,seating,low,pos,comfort,3
24,seating,sprawling,pos,comfort,3
24,roof,low,neu,exterior-features,9
24,seating,comfortable,pos,comfort,3
24,steering wheel control,electric,neu,interior-features,1
24,steering wheel control,like,pos,interior-features,1
24,sports steering,pretty nice,pos,interior-features,1
24,entertainment system,quite good fun,neu,user-experience,8
24,entertainment system,nice to use,pos,user-experience,8
24,entertainment system,intuitive,pos,user-experience,8
24,passenger in the back,annoying,neg,comfort,3
24,roof,low,neg,comfort,3
24,legs,crush,neg,comfort,3
24,back,not as comfy,neg,comfort,3
24,boot,big,pos,exterior-features,9
24,boot,decent size,pos,exterior-features,9
24,boot,large,pos,exterior-features,9
24,floor,flattish,neu,exterior-features,9
24,boot,impressive,pos,exterior-features,9
24,-,-,-,unknown,-1
24,-,-,-,unknown,-1
24,exhaust pipe,just a show,neg,exterior-features,9
24,exhaust pipe,ruined,neg,exterior-features,9
24,exhaust pipe surround,fake,neg,exterior-features,9
24,exhaust pipe surround,unnecessarily large,neg,exterior-features,9
24,satnav,not the smartest,neg,user-experience,8
24,picking the route,annoying,neg,user-experience,8
24,-,-,-,unknown,-1
24,system,ironic,neg,user-experience,8
24,marina leather,soft,pos,quality-aesthetic,2
24,acceleration noise,weird,neg,comfort,3
24,-,-,-,unknown,-1
24,features,cool,pos,user-experience,8
24,heads up display,really good,pos,interior-features,1
24,heads up display,nice,pos,interior-features,1
24,heads up display,big,pos,interior-features,1
24,heads up display,clear,pos,interior-features,1
24,camera,brilliant,pos,user-experience,8
24,Reversing assistant,handy,pos,user-experience,8
24,Reversing assistant,cool,pos,user-experience,8
24,laser headlights,twice as bright,pos,exterior-features,9
24,cruise control,really cleaver,pos,user-experience,8
24,piloted drive system,among the very best,pos,user-experience,8
24,outside,massive,neu,exterior-features,9
24,inside,quite compact,neg,comfort,3
24,bonnet,huge,neu,exterior-features,9
24,visibility,quite intimidating in tight spaces,neg,safety,5
24,back window,big,neu,exterior-features,9
24,experience in town (drive),actually quite good,pos,handling,4
24,drive,comfy enough,neu,comfort,3
24,drive,not the most luxurious in terms of travelling over bumps,neg,handling,4
24,gearbox,brilliant,pos,handling,4
24,long distances,great,pos,handling,4
24,engine,real real quick,pos,performance,0
24,engine,super rapid,pos,performance,0
24,car,not quite as comfortable,neg,comfort,3
24,drive,shocked,pos,handling,4
24,grips in the corners,really impressive,pos,handling,4
24,wheel turn,feel like a dart in the turn,pos,handling,4
24,steering,really really good,pos,handling,4
24,steering,sharp,pos,handling,4
24,balance,just right,pos,handling,4
24,steering,fun,pos,handling,4
24,-,-,-,unknown,-1
24,-,-,-,unknown,-1
24,slip differential,limited,neu,handling,4
24,BMW,more fun,pos,general-information,6
24,-,-,-,unknown,-1
24,8 Siris,big,pos,general-information,6
24,8 Siris,luxurious,pos,quality-aesthetic,2
25,-,-,-,unknown,-1
25,-,-,-,unknown,-1
25,car,fast,pos,performance,0
25,car,faster,pos,performance,0
25,wheel drive,dead simple,neu,user-experience,8
25,-,-,-,unknown,-1
25,-,-,-,unknown,-1
25,standing quarter,good job,pos,performance,0
25,cost,almost double,neg,cost,7
25,performance Power,impressive,pos,performance,0
25,performance Power,not quite as impressive as,neu,performance,0
25,carbon fibre engine cover,lovely,pos,performance,0
25,gearbox,modern,pos,handling,4
25,torque converter,smoother,pos,performance,0
25,torque converter,strong enough,pos,performance,0
25,high pressure oil system,special,pos,performance,0
25,sound,pretty awesome,pos,performance,0
25,sound,good,pos,performance,0
25,look,good,pos,quality-aesthetic,2
25,look,aggressive,pos,quality-aesthetic,2
