,id,aspect,opinion,sentiment,category,label_topic,base_category,MAIN_CATEGORY
0,23,-,-,-,unknown,-1,unknown,UNKNOWN
1,23,-,-,-,unknown,-1,unknown,UNKNOWN
2,23,graphic,drawn on by the child,neg,interior-features,1,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
3,23,slip differential,limited,neg,handling,4,traction / stability,HANDLING / DYNAMICS
4,23,traction,handy,pos,handling,4,traction / stability,HANDLING / DYNAMICS
5,23,ashtray,love,pos,interior-features,1,storage & utility,FUNCTIONAL / UTILITY FEATURES
6,23,carbon ceramics,ideal,pos,handling,4,brake,HANDLING / DYNAMICS
7,23,-,-,-,unknown,-1,unknown,UNKNOWN
8,23,-,-,-,unknown,-1,unknown,UNKNOWN
9,23,steering,so nice,pos,handling,4,steering,HANDLING / DYNAMICS
10,23,steering,light,pos,handling,4,steering,HANDLING / DYNAMICS
11,23,engine,quick,pos,performance,0,engine / power train,POWERTRAIN / PERFORMANCE
12,23,engine,quick,pos,performance,0,engine / power train,POWERTRAIN / PERFORMANCE
13,23,engine,sharp,pos,performance,0,engine / power train,POWERTRAIN / PERFORMANCE
14,23,engine,sharp,pos,performance,0,engine / power train,POWERTRAIN / PERFORMANCE
15,23,suspension,pretty,pos,handling,4,suspension,HANDLING / DYNAMICS
16,23,engine,delightful,pos,performance,0,engine / power train,POWERTRAIN / PERFORMANCE
17,23,engine,delightful,pos,performance,0,engine / power train,POWERTRAIN / PERFORMANCE
18,23,gearbox,rubbish,neg,performance,0,transmission,POWERTRAIN / PERFORMANCE
19,23,gearbox,rubbish,neg,performance,0,transmission,POWERTRAIN / PERFORMANCE
20,23,gearbox,dated,neg,performance,0,transmission,POWERTRAIN / PERFORMANCE
21,23,gearbox,dated,neg,performance,0,transmission,POWERTRAIN / PERFORMANCE
22,23,gearbox,bad,neg,performance,0,transmission,POWERTRAIN / PERFORMANCE
23,23,gearbox,bad,neg,performance,0,transmission,POWERTRAIN / PERFORMANCE
24,23,gearbox,flickering,neg,handling,4,transmission,POWERTRAIN / PERFORMANCE
25,23,gearbox,flickering,neg,handling,4,transmission,POWERTRAIN / PERFORMANCE
26,23,-,-,-,unknown,-1,unknown,UNKNOWN
27,23,-,-,-,unknown,-1,unknown,UNKNOWN
28,24,large,GT coach,neu,general-information,6,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
29,24,car,swoopy,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
30,24,car,swoopy,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
31,24,car,sleek,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
32,24,car,sleek,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
33,24,profile,great,pos,quality-aesthetic,2,design,EMOTIONAL / SENSORY / VISUAL
34,24,car,sleek,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
35,24,car,sleek,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
36,24,car,long,neu,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
37,24,car,long,neu,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
38,24,car,smart  looking,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
39,24,car,smart  looking,pos,quality-aesthetic,2,generic description & miscellaneous,GENERAL INFORMATION
40,24,backend,sweet,pos,quality-aesthetic,2,rear section,EXTERIOR / STYLING / DESIGN
41,24,-,-,-,unknown,-1,unknown,UNKNOWN
42,24,leather,feels very well,pos,quality-aesthetic,2,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
43,24,leather,feels very well,pos,quality-aesthetic,2,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
44,24,everything,feels quality,pos,quality-aesthetic,2,functionality & features,FUNCTIONAL / UTILITY FEATURES
45,24,mirror cover,feels expensive,pos,quality-aesthetic,2,mirrors,SAFETY
46,24,design,light,neu,quality-aesthetic,2,design,EMOTIONAL / SENSORY / VISUAL
47,24,feel,expensive ish,pos,quality-aesthetic,2,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
48,24,feel,expensive ish,pos,quality-aesthetic,2,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
49,24,gear selector knob,big,neu,quality-aesthetic,2,transmission,POWERTRAIN / PERFORMANCE
50,24,gear selector knob,crystal,neu,quality-aesthetic,2,transmission,POWERTRAIN / PERFORMANCE
51,24,seating,nice,pos,comfort,3,seats,INTERIOR / COMFORT / ERGONOMICS
52,24,seating,low,pos,comfort,3,seats,INTERIOR / COMFORT / ERGONOMICS
53,24,seating,sprawling,pos,comfort,3,seats,INTERIOR / COMFORT / ERGONOMICS
54,24,roof,low,neu,exterior-features,9,roof,EXTERIOR / STYLING / DESIGN
55,24,seating,comfortable,pos,comfort,3,seats,INTERIOR / COMFORT / ERGONOMICS
56,24,steering wheel control,electric,neu,interior-features,1,steering,HANDLING / DYNAMICS
57,24,steering wheel control,like,pos,interior-features,1,steering,HANDLING / DYNAMICS
58,24,sports steering,pretty nice,pos,interior-features,1,steering,HANDLING / DYNAMICS
59,24,entertainment system,quite good fun,neu,user-experience,8,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
60,24,entertainment system,quite good fun,neu,user-experience,8,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
61,24,entertainment system,nice to use,pos,user-experience,8,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
62,24,entertainment system,nice to use,pos,user-experience,8,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
63,24,entertainment system,intuitive,pos,user-experience,8,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
64,24,entertainment system,intuitive,pos,user-experience,8,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
65,24,passenger in the back,annoying,neg,comfort,3,passenger space,INTERIOR / COMFORT / ERGONOMICS
66,24,roof,low,neg,comfort,3,roof,EXTERIOR / STYLING / DESIGN
67,24,legs,crush,neg,comfort,3,passenger space,INTERIOR / COMFORT / ERGONOMICS
68,24,back,not as comfy,neg,comfort,3,rear section,EXTERIOR / STYLING / DESIGN
69,24,boot,big,pos,exterior-features,9,boot / cargo,FUNCTIONAL / UTILITY FEATURES
70,24,boot,decent size,pos,exterior-features,9,boot / cargo,FUNCTIONAL / UTILITY FEATURES
71,24,boot,large,pos,exterior-features,9,boot / cargo,FUNCTIONAL / UTILITY FEATURES
72,24,floor,flattish,neu,exterior-features,9,interior,INTERIOR / COMFORT / ERGONOMICS
73,24,boot,impressive,pos,exterior-features,9,boot / cargo,FUNCTIONAL / UTILITY FEATURES
74,24,-,-,-,unknown,-1,unknown,UNKNOWN
75,24,-,-,-,unknown,-1,unknown,UNKNOWN
76,24,exhaust pipe,just a show,neg,exterior-features,9,exhaust,POWERTRAIN / PERFORMANCE
77,24,exhaust pipe,ruined,neg,exterior-features,9,exhaust,POWERTRAIN / PERFORMANCE
78,24,exhaust pipe surround,fake,neg,exterior-features,9,exhaust,POWERTRAIN / PERFORMANCE
79,24,exhaust pipe surround,unnecessarily large,neg,exterior-features,9,exhaust,POWERTRAIN / PERFORMANCE
